selection_group,window_s,sigma_mult,max_hold_s,n_segments,positive_segments,overall_n,overall_mean_r,loo_min_mean_r,loo_max_mean_r
control,3,4.0,900,8,0,5642,-1.3066733035347136,-1.3370414763779246,-1.28444834447316
control,3,4.0,3600,8,0,5596,-1.347178570004272,-1.3909689463138664,-1.3122003724753313
control,3,4.0,14400,8,0,5536,-1.3434879974800382,-1.4176303294539718,-1.2780718120036978
control,3,4.0,86400,8,0,5334,-1.6950043583053591,-1.8167636371360782,-1.6274509134430843
control,3,6.0,900,8,0,2025,-1.4732206262237912,-1.5392058751208098,-1.4126503338404073
control,3,6.0,3600,8,0,2008,-1.5279973174030312,-1.6141239961986065,-1.460678463294552
control,3,6.0,14400,8,0,1977,-1.4994559393570859,-1.6499794708908047,-1.3782752835796863
control,3,6.0,86400,8,1,1889,-1.8773282000252252,-2.0417080896389423,-1.7456713062641487
control,5,4.0,900,8,0,3791,-1.332346157051254,-1.368946950515988,-1.3057204469110844
control,5,4.0,3600,8,0,3763,-1.3658078090547916,-1.41131890279654,-1.3278080118046787
control,5,4.0,14400,8,0,3713,-1.3544793765850367,-1.421667693558498,-1.2900188138526205
control,5,4.0,86400,8,0,3560,-1.7173040246930922,-1.8627069485335315,-1.642467133627437
control,5,6.0,900,8,0,1227,-1.5051609815485965,-1.5759260471782488,-1.4480681546090992
control,5,6.0,3600,8,0,1220,-1.5547284233476675,-1.6498181897337214,-1.4858370521885855
control,5,6.0,14400,8,0,1201,-1.5512207250640973,-1.6631175602072055,-1.4625958396874563
control,5,6.0,86400,8,1,1146,-1.8906279127878625,-2.0600550567184555,-1.8037066646540996
control,10,4.0,900,8,0,2157,-1.2454244748591108,-1.2779984211912032,-1.2164678702774032
control,10,4.0,3600,8,0,2142,-1.298961048021886,-1.360845852968903,-1.2597394949784835
control,10,4.0,14400,8,0,2110,-1.2933071195910175,-1.342746026399339,-1.2061559844209981
control,10,4.0,86400,8,0,2020,-1.7609861688600688,-1.9028476218363493,-1.678341468847187
control,10,6.0,900,8,0,610,-1.2830260994894056,-1.3423170827439825,-1.1832886787478785
control,10,6.0,3600,8,0,608,-1.390443050415127,-1.5010739268720126,-1.3145973266015425
control,10,6.0,14400,8,0,596,-1.3858953465447676,-1.4664609359068161,-1.2871751092057335
control,10,6.0,86400,8,0,567,-1.8567272035870532,-2.026032776863718,-1.7657273325897658
extreme,3,4.0,900,7,0,4024,-1.574672315919708,-1.6517485953922724,-1.4753430766884064
extreme,3,4.0,3600,7,0,4011,-1.528389430063123,-1.6145984342181519,-1.3961769104741053
extreme,3,4.0,14400,7,0,3995,-1.270789355255832,-1.4414965635115509,-1.1275469261407385
extreme,3,4.0,86400,7,3,3948,0.22937099375052292,-1.1216350218811344,0.6224900101816667
extreme,3,6.0,900,7,0,1188,-1.8619090022048415,-2.054380433940085,-1.6812683791140985
extreme,3,6.0,3600,7,0,1184,-1.775620466968268,-1.9348486997273544,-1.630026242430269
extreme,3,6.0,14400,7,0,1179,-1.4972863072923555,-1.6547020886223112,-1.3663819598656046
extreme,3,6.0,86400,7,1,1169,0.22865805673946915,-1.653794960856745,0.6194762138296385
extreme,5,4.0,900,7,0,2756,-1.5055993671095127,-1.5782411782678494,-1.408412361815026
extreme,5,4.0,3600,7,0,2745,-1.4587791754978032,-1.5683681600608887,-1.3612348550175704
extreme,5,4.0,14400,7,0,2733,-1.2334443079251396,-1.3825908801940825,-1.1347927950482357
extreme,5,4.0,86400,7,2,2702,0.03476690246126144,-1.1786582401957966,0.4519722413783128
extreme,5,6.0,900,7,0,743,-1.7844595421361846,-1.961987727636065,-1.616638768985987
extreme,5,6.0,3600,7,1,739,-1.5409291396561304,-1.8135594774292105,-1.3862996868424604
extreme,5,6.0,14400,7,1,738,-1.2900355426614882,-1.5763508970375713,-1.098260483238607
extreme,5,6.0,86400,7,2,729,1.0605666022211486,-0.9914353829288458,1.6707420752717526
extreme,10,4.0,900,7,0,1755,-1.2508630001976517,-1.3113951417161889,-1.1234904808863009
extreme,10,4.0,3600,7,0,1746,-1.185347884057801,-1.3072663886929468,-1.1003062269041657
extreme,10,4.0,14400,7,0,1735,-0.9475047184828548,-1.0904374353280328,-0.8815843941117849
extreme,10,4.0,86400,7,3,1701,0.5174443649998579,-0.5476497282022403,0.9305763048189464
extreme,10,6.0,900,7,0,420,-1.2034892314030083,-1.3117969404211212,-1.0662705007028743
extreme,10,6.0,3600,7,1,419,-1.116761967976721,-1.3257612746569465,-0.887281539533049
extreme,10,6.0,14400,7,3,417,-0.5888759100253218,-0.827150766375991,-0.26808158030521373
extreme,10,6.0,86400,7,4,406,1.391264596886422,-0.07883460354038212,1.969973811064321
