window_s,sigma_mult,max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor,stratum
3,4.0,900,3833,0.12809809548656406,-1.5508609298006102,-2.1038257539492347,-5944.449943925739,20.436461675935004,-13.155946740588606,1.9358811584221467,1.4572825096511304,822.0,0.5134359509522567,0.06183146360553091,0.03182885468301591,0.021132272371510566,0.009392121054004696,0.001826245760500913,0.12404600370503717,align:counter_trend
3,4.0,3600,3805,0.15374507227332457,-1.5751021911675924,-2.138126294632973,-5993.263837392689,51.20445207868692,-13.155946740588606,3.8819406234659244,1.4589112163092655,806.0,0.7151116951379763,0.10223390275952694,0.0683311432325887,0.04336399474375821,0.022076215505913273,0.006570302233902759,0.21176290572782108,align:counter_trend
3,4.0,14400,3762,0.10473152578415737,-1.5642130212242407,-2.1893500937861443,-5884.569385845593,52.57559189968335,-13.155946740588606,8.240047142082464,1.4624376414857834,785.5,0.8692185007974481,0.0834662413609782,0.06804891015417332,0.05688463583200425,0.04093567251461988,0.024455077086656035,0.30776100277744706,align:counter_trend
3,4.0,86400,3660,0.03278688524590164,-1.257255233185373,-2.2202560177747657,-4601.554153458465,184.0942047526187,-13.155946740588606,25.04227558602907,1.4687570722638226,719.0,0.9666666666666667,0.03224043715846994,0.03114754098360656,0.030054644808743168,0.027868852459016394,0.023224043715846996,0.4920570462454882,align:counter_trend
3,6.0,900,1187,0.11288963774220724,-1.7122682726400207,-1.7844204750407686,-2032.4624396237045,9.089586001866532,-13.155946740588606,1.617450965449877,1.584204781701003,900.0,0.4700926705981466,0.04296545914069082,0.017691659646166806,0.010951979780960405,0.003369839932603201,0.0,0.06968830596952136,align:counter_trend
3,6.0,3600,1178,0.14431239388794567,-1.7605294139686245,-2.1437782895325865,-2073.9036496550398,13.922371748713157,-13.155946740588606,3.1831148732959984,1.5854600127926297,1080.0,0.6689303904923599,0.07640067911714771,0.04838709677419355,0.031409168081494056,0.014431239388794566,0.003395585738539898,0.14365901762896174,align:counter_trend
3,6.0,14400,1156,0.10553633217993079,-1.798450649901503,-2.20864119053386,-2079.0089512861373,50.68788768911063,-13.155946740588606,7.2478634805728435,1.593812958268181,1026.0,0.8529411764705882,0.08044982698961937,0.0657439446366782,0.05103806228373702,0.03546712802768166,0.01643598615916955,0.23650316184792883,align:counter_trend
3,6.0,86400,1113,0.036837376460017966,-1.4460427344094984,-2.246493810592073,-1609.4455633977716,89.2134107245736,-13.155946740588606,22.037026331773646,1.6050679862753552,896.0,0.963162623539982,0.03593890386343217,0.034141958670260555,0.03324348607367475,0.029649595687331536,0.02336028751123091,0.4418850235666355,align:counter_trend
5,4.0,900,2578,0.1408068269976726,-1.5419040532407047,-2.102552349203402,-3975.0286492545365,20.558871469822805,-21.994500181806266,1.9020189918374992,1.513199432363529,841.5,0.5069821567106284,0.06788207913110939,0.03917765709852599,0.02482544608223429,0.01047323506594259,0.0027152831652443757,0.13859010158896803,align:counter_trend
5,4.0,3600,2561,0.15579851620460758,-1.548044581566729,-2.1536478524135165,-3964.542173392393,44.1751025905435,-21.994500181806266,3.778462213997306,1.5151400011989435,825.0,0.7063647012885591,0.10269426005466614,0.06755173760249902,0.04763764154627099,0.026552128074970715,0.008199921905505662,0.23090672553410294,align:counter_trend
5,4.0,14400,2528,0.1060126582278481,-1.5837067059919696,-2.203744701800787,-4003.6105527476993,50.71967963066207,-21.994500181806266,7.8984344562311835,1.5193912232285456,788.5,0.8619462025316456,0.08267405063291139,0.0668512658227848,0.055379746835443035,0.03916139240506329,0.023734177215189875,0.3073144463576394,align:counter_trend
5,4.0,86400,2449,0.031849734585545124,-1.5126136436788133,-2.2442111267441702,-3704.390813369414,89.2134107245736,-21.994500181806266,22.826182270628205,1.5258290033941415,714.0,0.9681502654144549,0.03144140465496121,0.030624744793793384,0.030216414863209473,0.02735810534912209,0.021641486320947326,0.3994030283413349,align:counter_trend
5,6.0,900,673,0.1426448736998514,-1.6785132115745072,-1.7236892893820488,-1129.6393913896434,7.824243055358114,-21.994500181806266,1.7832901503692602,1.716896784903382,900.0,0.4472511144130758,0.06835066864784546,0.02823179791976226,0.019316493313521546,0.007429420505200594,0.0,0.10683407577526875,align:counter_trend
5,6.0,3600,669,0.16292974588938713,-1.7163805854818868,-2.1477706071084834,-1148.2586116873822,13.922371748713157,-21.994500181806266,3.2195558785922453,1.7183007928741223,1278.0,0.6442451420029895,0.10164424514200299,0.059790732436472344,0.04633781763826607,0.025411061285500747,0.004484304932735426,0.18938948889887303,align:counter_trend
5,6.0,14400,657,0.1156773211567732,-1.7813683111563938,-2.2520978027268255,-1170.3589804297508,35.1564029904027,-21.994500181806266,6.400902563482076,1.7266097346278424,1195.0,0.8295281582952816,0.0898021308980213,0.076103500761035,0.0654490106544901,0.045662100456621,0.0182648401826484,0.27179759903459316,align:counter_trend
5,6.0,86400,631,0.0491283676703645,-1.1097630874036408,-2.3108997260554407,-700.2605081516973,89.2134107245736,-21.994500181806266,20.362365667999853,1.7429087185606948,1039.0,0.9508716323296355,0.0491283676703645,0.04595879556259905,0.044374009508716325,0.03803486529318542,0.028526148969889066,0.590729698404119,align:counter_trend
10,4.0,900,1504,0.1735372340425532,-1.389069827062766,-1.7014190951402357,-2089.1610199024,18.823315386911137,-15.920912412998952,2.0848846938805647,1.4960626234675778,900.0,0.47273936170212766,0.09375,0.0538563829787234,0.02925531914893617,0.007313829787234043,0.0013297872340425532,0.1760995467507633,align:counter_trend
10,4.0,3600,1493,0.17883456128600134,-1.4302358078908877,-2.1256960335621096,-2135.3420611810952,22.41502582388244,-15.920912412998952,3.7868255508317716,1.4981020604283453,1033.0,0.6758204956463496,0.12525117213663764,0.08506363027461487,0.05626255860683188,0.030810448760884127,0.009377093101138647,0.2653896565919786,align:counter_trend
10,4.0,14400,1472,0.12024456521739131,-1.4432265989184074,-2.192070143686004,-2124.4295536078957,50.68788768911063,-15.920912412998952,7.604808931713365,1.5025925618180513,994.5,0.8389945652173914,0.09986413043478261,0.08627717391304347,0.07201086956521739,0.04619565217391304,0.022418478260869564,0.3553609449296518,align:counter_trend
10,4.0,86400,1412,0.03541076487252125,-1.3699533828757011,-2.2463923932752654,-1934.37417662049,89.68431663184946,-15.920912412998952,21.44118792472727,1.5074852875167726,874.5,0.9624645892351275,0.03541076487252125,0.03328611898016997,0.032577903682719546,0.02903682719546742,0.0226628895184136,0.45336628118598515,align:counter_trend
10,6.0,900,334,0.19161676646706588,-1.3980532504003138,-1.4657321739435756,-466.94978563370483,7.001710503975577,-15.920912412998952,2.05145200011952,1.7153040160267556,900.0,0.41317365269461076,0.08682634730538923,0.05389221556886228,0.038922155688622756,0.008982035928143712,0.0,0.18230058990034703,align:counter_trend
10,6.0,3600,334,0.19461077844311378,-1.3900636443399061,-2.1084433181573576,-464.2812572095287,22.41502582388244,-15.920912412998952,3.58268573368062,1.7153040160267556,1409.5,0.6347305389221557,0.1347305389221557,0.08982035928143713,0.06287425149700598,0.041916167664670656,0.023952095808383235,0.32928034808140216,align:counter_trend
10,6.0,14400,326,0.1411042944785276,-1.5564978260882822,-2.1833812513802218,-507.41829130478004,30.361382624458127,-15.920912412998952,6.691906231775265,1.7275730738820716,1355.5,0.7944785276073619,0.10736196319018405,0.10122699386503067,0.07668711656441718,0.05521472392638037,0.02147239263803681,0.3436791006554102,align:counter_trend
