window_s,sigma_mult,max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor
3,4.0,900,9666,0.13997517070142768,-1.4182425178774838,-2.103585166624627,-13708.732177803759,73.90102200391978,-28.444869940877236,2.2510394529725626,1.449649127071993,840.5,0.5103455410717981,0.07738464721704945,0.04634802400165529,0.032071177322573974,0.016035588661286987,0.004345127250155183,0.1858689422334643
3,4.0,3600,9607,0.15624024149057977,-1.4228355659130938,-2.1274809160306014,-13669.181281727091,59.59819161919336,-28.444869940877236,4.455934612820421,1.4511905423093108,825.0,0.7144790257104194,0.10929530550640158,0.07692307692307693,0.05537628812324347,0.030914957843239305,0.010096804413448526,0.2776881049301183
3,4.0,14400,9531,0.11163571503514846,-1.3130157410866166,-2.170844426841549,-12514.353028296542,99.20789521304401,-28.444869940877236,9.01100041475547,1.4531023314471818,812.0,0.8581470989403001,0.09421886475710839,0.08015947959290735,0.06704438149197356,0.05099150141643059,0.02654495855629,0.4052659356236082
3,4.0,86400,9282,0.041801335918982975,-0.8764917651232194,-2.2034435063059576,-8135.5965638737225,184.0942047526187,-28.444869940877236,26.963440800737924,1.4581861775280898,750.0,0.9567981038569274,0.0392156862745098,0.03738418444300797,0.03673777203188968,0.03533721180780004,0.03156647274294333,0.6388897737349233
3,6.0,900,3213,0.1229380641145347,-1.616937336670566,-1.9701678730940453,-5195.2196627225285,26.111217573980916,-18.028505433090487,2.1935797150366896,1.6347145003356596,900.0,0.4793028322440087,0.06567071272953626,0.0392156862745098,0.02707749766573296,0.010582010582010581,0.004357298474945534,0.144161114508206
3,6.0,3600,3192,0.14786967418546365,-1.6198475082192092,-2.1548248307663664,-5170.553246235716,37.58213438642764,-18.028505433090487,4.1655956189015235,1.6366567744226768,1021.0,0.681077694235589,0.09617794486215539,0.06484962406015038,0.046679197994987466,0.02631578947368421,0.010025062656641603,0.22869011768444275
3,6.0,14400,3156,0.11692015209125475,-1.4986454209146534,-2.2192876891260953,-4729.724948406646,81.84802673614078,-18.028505433090487,7.92939553258276,1.6406235526036468,996.5,0.835234474017744,0.09537389100126743,0.08333333333333333,0.06844106463878327,0.05038022813688213,0.024397972116603297,0.3592951491960017
3,6.0,86400,3058,0.04708960104643558,-1.0722602032436923,-2.2701707613968667,-3278.971701519211,130.9371632414119,-18.028505433090487,24.46318842878921,1.6500481642198233,878.5,0.9509483322432962,0.04414650098103336,0.04283845650752126,0.04251144538914323,0.040222367560497053,0.03531720078482668,0.5876489734207156
5,4.0,900,6547,0.14709027035283337,-1.4052781636070142,-2.100505631878398,-9200.356137135122,38.341064505830985,-21.994500181806266,2.380650456665175,1.5004551788573872,896.0,0.5003818542844051,0.08492439285168779,0.053917824957996026,0.03696349473041088,0.01893997250649152,0.0053459599816709944,0.20298935090388903
5,4.0,3600,6508,0.15734480639213275,-1.4050220685640213,-2.1466243606801836,-9143.883622214651,59.59819161919336,-21.994500181806266,4.508995865350588,1.5022477638270597,871.5,0.7048248309772588,0.11032575291948371,0.07682851874615858,0.05762138905961893,0.03334357713583282,0.012138905961893055,0.29632973564858334
5,4.0,14400,6446,0.11666149550108594,-1.3031624602574692,-2.196081833369623,-8400.185218819646,84.89977494252655,-21.994500181806266,9.065100481958831,1.505114739567211,842.0,0.8501396214706795,0.09835556934533043,0.08330747750542973,0.0693453304374806,0.05243561898852001,0.02901023890784983,0.41703175087231814
5,4.0,86400,6262,0.04247844139252635,-0.9613002487155988,-2.238842023985497,-6019.66215745708,129.75542155482756,-21.994500181806266,25.89603927096102,1.5104936903078023,766.0,0.9559246247205365,0.03976365378473331,0.038645800063877356,0.03784733312040881,0.03577131906739061,0.031140210795273075,0.6107756686354465
5,6.0,900,1970,0.14619289340101524,-1.6105004894250319,-1.9365026364793883,-3172.6859641673127,32.754478225590965,-21.994500181806266,2.4209666778604015,1.7119489352897326,900.0,0.48020304568527916,0.08121827411167512,0.04568527918781726,0.03350253807106599,0.015736040609137057,0.0040609137055837565,0.1645436334011438
5,6.0,3600,1959,0.15875446656457376,-1.5495228742675011,-2.1778324091771144,-3035.5153106900348,59.59819161919336,-21.994500181806266,4.383686927391354,1.7131653406284808,1015.0,0.6707503828483921,0.11128126595201633,0.07503828483920368,0.05615109749872384,0.03266972945380296,0.012761613067891782,0.2778127597961771
5,6.0,14400,1939,0.1294481691593605,-1.451811408605549,-2.256192372731466,-2815.062321286159,40.25392438789986,-21.994500181806266,7.9142324934043335,1.7186451051478544,994.0,0.8231046931407943,0.10469314079422383,0.09025270758122744,0.07890665291387312,0.05673027333677153,0.027333677153171736,0.39066963446390235
5,6.0,86400,1875,0.056,-0.7432034853523589,-2.3314297708261567,-1393.5065350356729,125.50350338336176,-21.994500181806266,23.335780396286115,1.7275017607913958,878.0,0.9424,0.05226666666666667,0.050666666666666665,0.0496,0.0464,0.04106666666666667,0.7201407787170719
10,4.0,900,3912,0.18404907975460122,-1.247864304094576,-1.7481359103289296,-4881.645157617982,34.84257695655881,-15.920912412998952,2.604960695341935,1.4902435889008983,900.0,0.47213701431492844,0.1083844580777096,0.06595092024539877,0.04141104294478527,0.019427402862985686,0.006390593047034765,0.25413138800645374
10,4.0,3600,3888,0.18287037037037038,-1.2479403216120888,-2.126812636047111,-4851.991970427801,59.59819161919336,-15.920912412998952,4.747208634954529,1.4918667091448314,1032.0,0.6815843621399177,0.13348765432098766,0.09490740740740741,0.06867283950617284,0.04063786008230453,0.013888888888888888,0.35575998491394806
10,4.0,14400,3845,0.13107932379713913,-1.1372688449687387,-2.1820974871044467,-4372.7987089048,80.0671629251131,-15.920912412998952,9.108395625242217,1.4945678192794527,1004.0,0.8317295188556567,0.11209362808842653,0.09856957087126138,0.08400520156046815,0.05903771131339402,0.030689206762028607,0.4813397462824604
10,4.0,86400,3721,0.0499865627519484,-0.7194354195733891,-2.236516303048907,-2677.0191962325807,129.75542155482756,-15.920912412998952,25.90921628491719,1.4977146833410977,924.0,0.9473259876377318,0.04703036818059662,0.04568664337543671,0.045149153453372746,0.04246170384305294,0.03735554958344531,0.706162722621084
10,6.0,900,1030,0.2058252427184466,-1.2505935901726224,-1.506446971283117,-1288.111397877801,19.12572947158591,-15.920912412998952,2.7091364197920003,1.6323921974678297,900.0,0.41067961165048544,0.11650485436893204,0.07184466019417475,0.04951456310679612,0.020388349514563107,0.003883495145631068,0.26247082612481876
