date,status,rows,long_gaps,gap_seconds,path
2023-08-16,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/08/ETHUSDT-1s-2023-08-16.parquet
2023-08-17,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/08/ETHUSDT-1s-2023-08-17.parquet
2023-08-18,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/08/ETHUSDT-1s-2023-08-18.parquet
2023-08-26,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/08/ETHUSDT-1s-2023-08-26.parquet
2023-08-27,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/08/ETHUSDT-1s-2023-08-27.parquet
2023-08-28,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/08/ETHUSDT-1s-2023-08-28.parquet
2023-08-30,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/08/ETHUSDT-1s-2023-08-30.parquet
2023-08-31,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/08/ETHUSDT-1s-2023-08-31.parquet
2023-09-01,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/09/ETHUSDT-1s-2023-09-01.parquet
2023-10-22,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/10/ETHUSDT-1s-2023-10-22.parquet
2023-10-23,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/10/ETHUSDT-1s-2023-10-23.parquet
2023-10-24,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/10/ETHUSDT-1s-2023-10-24.parquet
2023-10-27,ok,86400,0,0,/workspace/scratch/3229c7547c95/biz002/data/bars/ETHUSDT/2023/10/ETHUSDT-1s-2023-10-27.parquet
