selection_group,window_s,sigma_mult,max_hold_s,n_segments,positive_segments,overall_n,overall_mean_r,loo_min_mean_r,loo_max_mean_r
control,3,4.0,900,8,0,5045,-1.3847808025367045,-1.4514665058755964,-1.3585828575323193
control,3,4.0,3600,8,0,5019,-1.4480176376334841,-1.5203900766009129,-1.4220267659255477
control,3,4.0,14400,8,0,4986,-1.428052518974149,-1.518624824837551,-1.3656751143207624
control,3,4.0,86400,8,1,4876,-1.8097350370142713,-2.060666569612756,-1.739319255074752
control,3,6.0,900,8,0,1695,-1.633269322925065,-1.7985661339256183,-1.5816657707280275
control,3,6.0,3600,8,0,1685,-1.7216893127029136,-1.8927952631241025,-1.6778064239581194
control,3,6.0,14400,8,0,1667,-1.806076198851132,-1.9203997631627394,-1.7422637085058525
control,3,6.0,86400,8,1,1630,-2.20204941159282,-2.4049885611185666,-2.1243987104829847
control,5,4.0,900,8,0,3447,-1.3680556267905637,-1.4254679451361676,-1.3437069777222292
control,5,4.0,3600,8,0,3431,-1.4374399250021286,-1.4874100580353486,-1.421157639313571
control,5,4.0,14400,8,0,3402,-1.4322749895139504,-1.5441312760451313,-1.3682706798362954
control,5,4.0,86400,8,1,3325,-1.8753253861207761,-2.1887069012299833,-1.804196487214624
control,5,6.0,900,8,0,1049,-1.7251170918726049,-1.890319876856794,-1.6779865913226413
control,5,6.0,3600,8,0,1044,-1.7919747799554933,-1.9754114183365599,-1.7232295067356147
control,5,6.0,14400,8,0,1033,-1.776540352780021,-1.8745342893954735,-1.721913713089024
control,5,6.0,86400,8,1,1007,-2.198312308712459,-2.4233147948725775,-2.092589653377241
control,10,4.0,900,8,0,1997,-1.2651838934083215,-1.304594804150925,-1.241177591378042
control,10,4.0,3600,8,0,1987,-1.3209084994025109,-1.37191965786257,-1.285419248112541
control,10,4.0,14400,8,0,1973,-1.364732494442507,-1.4625278428699287,-1.2984932191933505
control,10,4.0,86400,8,1,1915,-1.79419384968248,-2.1874091258772,-1.6708342943596666
control,10,6.0,900,8,0,558,-1.3869962154815518,-1.5262338769899597,-1.3078132079114448
control,10,6.0,3600,8,0,557,-1.5440292924882455,-1.6910901748736498,-1.4686337116757031
control,10,6.0,14400,8,1,553,-1.4216636721445917,-1.583890995580201,-1.3229321257492632
control,10,6.0,86400,8,1,532,-1.377610525883041,-2.2992742382881244,-1.1354604112906685
extreme,3,4.0,900,7,0,3572,-1.8962037361359718,-2.0784104884598795,-1.756106937573342
extreme,3,4.0,3600,7,0,3567,-1.7294474932957091,-1.8977687475602283,-1.5175925142251288
extreme,3,4.0,14400,7,0,3558,-1.4319482104786896,-1.691457252103561,-1.1648518220889008
extreme,3,4.0,86400,7,2,3524,-0.20453364749846856,-1.564534412982766,0.29794625644071837
extreme,3,6.0,900,7,0,1070,-2.3218902109581445,-2.739093460956012,-2.147694950038869
extreme,3,6.0,3600,7,0,1068,-2.1963219692230966,-2.5698769873502734,-1.860280010964012
extreme,3,6.0,14400,7,1,1064,-2.0262309386913175,-2.4037765149800143,-1.5814765796549355
extreme,3,6.0,86400,7,2,1056,-0.17075126915613104,-1.8606783976033687,0.6812999549514084
extreme,5,4.0,900,7,0,2548,-1.7917252886208752,-1.9428173006075555,-1.6634874748158988
extreme,5,4.0,3600,7,0,2544,-1.578245159039043,-1.6785645492986365,-1.3935554165882338
extreme,5,4.0,14400,7,0,2535,-1.252534139250177,-1.374080533945504,-1.0682290294369245
extreme,5,4.0,86400,7,2,2503,-0.04254201315307181,-1.3553847933534475,0.41195747963451207
extreme,5,6.0,900,7,0,722,-2.3256419532347,-2.67974552706909,-2.1713664640704033
extreme,5,6.0,3600,7,0,722,-2.212958793044173,-2.5048577092428257,-2.0661529804894436
extreme,5,6.0,14400,7,0,720,-2.0673586824414323,-2.283138412198739,-1.8380036965589441
extreme,5,6.0,86400,7,2,711,-0.6671670383176318,-2.0490583146317913,-0.30783453125664384
extreme,10,4.0,900,7,0,1680,-1.4127588196205212,-1.4656540580431834,-1.3608889067308503
extreme,10,4.0,3600,7,0,1678,-1.3241313045542802,-1.426817054267673,-1.155208777682072
extreme,10,4.0,14400,7,0,1671,-1.024192015164396,-1.167537784360276,-0.776278352447561
extreme,10,4.0,86400,7,3,1641,0.03579421148253232,-0.7457351297077927,0.46026823748127343
extreme,10,6.0,900,7,0,418,-1.5077558950325813,-1.6771135296113062,-1.4084390733007366
extreme,10,6.0,3600,7,1,418,-1.5065522872855457,-1.7090964769397865,-1.3389845090517847
extreme,10,6.0,14400,7,0,416,-1.3722392901974472,-1.4852310536387592,-1.2947891045286322
extreme,10,6.0,86400,7,2,410,-0.010413502306032135,-1.3877630363129032,0.7087659252495357
