window_s,sigma_mult,max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor,stratum
3,4.0,900,3510,0.15014245014245015,-1.6156351093477996,-2.1153325117753257,-5670.879233810777,27.306886878742823,-42.719532096595856,2.380795731183775,1.610715138159948,527.0,0.5820512820512821,0.07777777777777778,0.045584045584045586,0.031054131054131053,0.01452991452991453,0.003703703703703704,0.16318899162177983,align:counter_trend
3,4.0,3600,3496,0.1461670480549199,-1.641318005011099,-2.1929548875360383,-5738.047745518802,45.90237002960609,-42.719532096595856,4.6865151140608345,1.6127071912401605,519.0,0.7754576659038902,0.10640732265446225,0.07780320366132723,0.05663615560640732,0.03232265446224256,0.012299771167048055,0.25571806996529184,align:counter_trend
3,4.0,14400,3476,0.09004602991944764,-1.474185665902859,-2.243362204658779,-5124.269374678338,76.17156754252959,-42.719532096595856,10.003521947689503,1.6106894078318577,510.0,0.8955696202531646,0.08429228998849252,0.07710011507479862,0.0661680092059839,0.04660529344073648,0.029344073647871116,0.39646573802850826,align:counter_trend
3,4.0,86400,3410,0.02873900293255132,-1.2919478289292992,-2.28752602851772,-4405.54209664891,137.78742413828076,-42.719532096595856,28.875636037077562,1.6111808363047462,477.0,0.9706744868035191,0.02785923753665689,0.026979472140762465,0.026686217008797655,0.02463343108504399,0.02287390029325513,0.5090776745003821,align:counter_trend
3,6.0,900,1045,0.14354066985645933,-1.8820212645353627,-2.10753946907792,-1966.712221439454,11.32959990813194,-26.311642120294266,2.2100946739811844,1.914155016575026,665.0,0.5282296650717704,0.07272727272727272,0.03732057416267943,0.028708133971291867,0.013397129186602871,0.0009569377990430622,0.11804368001778051,align:counter_trend
3,6.0,3600,1040,0.1548076923076923,-1.9739058155445313,-2.2168927832512484,-2052.8620481663124,15.700125072110144,-26.311642120294266,4.217197030674702,1.9179311997804929,649.0,0.7288461538461538,0.10480769230769231,0.07403846153846154,0.04903846153846154,0.027884615384615386,0.004807692307692308,0.18211871368592986,align:counter_trend
3,6.0,14400,1027,0.09639727361246349,-2.010190238676212,-2.331349946606722,-2064.4653751204696,63.10353530995112,-26.311642120294266,8.667060059637386,1.9240132287490197,631.0,0.878286270691334,0.0827653359298929,0.0759493670886076,0.05842259006815969,0.0379746835443038,0.017526777020447908,0.26070393503000033,align:counter_trend
3,6.0,86400,1011,0.03165182987141444,-1.608856250717308,-2.383196301284154,-1626.5536694751984,136.68257248755333,-26.311642120294266,25.40767503137845,1.9223839480014497,609.0,0.9673590504451038,0.02967359050445104,0.027695351137487636,0.026706231454005934,0.025717111770524232,0.02274975272007913,0.45230996351867875,align:counter_trend
5,4.0,900,2421,0.1697645600991326,-1.59265830416213,-2.1177500454353084,-3855.825754376517,27.090653999145417,-16.46265343044546,2.499761093527669,1.66603429516213,576.0,0.5654688145394465,0.09045848822800495,0.05121850475010326,0.035522511358942584,0.017761255679471292,0.004130524576621231,0.17916613594317543,align:counter_trend
5,4.0,3600,2412,0.16086235489220563,-1.5801733850033133,-2.217092632053606,-3811.3782046279916,65.50236963136754,-16.46265343044546,4.829793346457114,1.6680693342544362,571.0,0.75787728026534,0.11442786069651742,0.08830845771144279,0.06384742951907131,0.03814262023217247,0.013266998341625208,0.28896484153354624,align:counter_trend
5,4.0,14400,2394,0.10066833751044277,-1.4164383123324555,-2.271957238525073,-3390.9533197238984,77.97647102086364,-16.46265343044546,10.111203032263102,1.667648235107063,550.5,0.883876357560568,0.09022556390977443,0.0860484544695071,0.07560568086883876,0.05304928989139515,0.03132832080200501,0.42971819120101573,align:counter_trend
5,4.0,86400,2343,0.03243704652155356,-1.205720968989987,-2.326234672066635,-2825.00423034354,136.68257248755333,-16.46265343044546,27.33553198974416,1.6678624704875906,516.0,0.9671361502347418,0.03201024327784891,0.031156636790439608,0.030729833546734954,0.029449423815621,0.026461801109688432,0.5516244097941085,align:counter_trend
5,6.0,900,623,0.14125200642054575,-1.9455475621743639,-2.14392270658846,-1212.0761312346287,13.54842736017985,-16.84974778746899,2.3800352221680465,2.042200467847061,577.0,0.550561797752809,0.0754414125200642,0.04012841091492777,0.033707865168539325,0.016051364365971106,0.004815409309791332,0.13360334545637087,align:counter_trend
5,6.0,3600,621,0.15780998389694043,-1.9460749753830138,-2.2914610991763706,-1208.5125597128515,65.50236963136754,-16.84974778746899,4.221570624620143,2.045003779258501,574.0,0.7310789049919485,0.1111111111111111,0.07729468599033816,0.05152979066022544,0.033816425120772944,0.004830917874396135,0.227266252901938,align:counter_trend
5,6.0,14400,616,0.10714285714285714,-1.8532290626646877,-2.3901252473940224,-1141.5891026014476,77.97647102086364,-16.84974778746899,8.19488198366958,2.0473917879645103,551.5,0.8636363636363636,0.08928571428571429,0.08441558441558442,0.07467532467532467,0.04707792207792208,0.021103896103896104,0.33431009784136195,align:counter_trend
5,6.0,86400,604,0.03642384105960265,-1.7018914726793892,-2.4499461607850037,-1027.9424494983512,125.31659279709187,-16.84974778746899,23.81669535050248,2.036879968540939,530.5,0.9619205298013245,0.0347682119205298,0.03145695364238411,0.029801324503311258,0.029801324503311258,0.02152317880794702,0.43953975622844776,align:counter_trend
10,4.0,900,1401,0.2091363311920057,-1.374886933928652,-2.053482852254735,-1926.2165944340416,16.54528020676495,-18.23376562683341,2.686892238252584,1.6380375778368166,782.0,0.5210563882940756,0.1206281227694504,0.07209136331192005,0.049964311206281226,0.01998572448251249,0.0035688793718772305,0.2378474352359705,align:counter_trend
10,4.0,3600,1396,0.19269340974212035,-1.349775670506407,-2.1859959019954496,-1884.2868360269442,30.48115965030112,-18.23376562683341,4.866681898009871,1.6395727356243677,776.0,0.7285100286532952,0.1504297994269341,0.11389684813753581,0.08237822349570201,0.050143266475644696,0.017191977077363897,0.36567072869031125,align:counter_trend
10,4.0,14400,1387,0.11607786589762076,-1.2770794932994072,-2.256540800179453,-1771.3092572062776,63.63771778156592,-18.23376562683341,9.933321088022009,1.6387218046023653,761.0,0.8622927180966113,0.10598413842826243,0.09805335255948089,0.08579668348954578,0.059841384282624366,0.033886085075702954,0.4687398657799343,align:counter_trend
10,4.0,86400,1350,0.04,-1.3730192703303274,-2.3063930362642555,-1853.576014945942,130.69503471276238,-18.23376562683341,25.856698183996652,1.6380502245929556,672.0,0.9592592592592593,0.03851851851851852,0.035555555555555556,0.03481481481481481,0.03259259259259259,0.025925925925925925,0.47922843513763547,align:counter_trend
10,6.0,900,287,0.1986062717770035,-1.6002199229629428,-1.7960758717503915,-459.2631178903646,9.17121831966102,-12.991347837223108,2.497421730928597,1.8293129217604447,900.0,0.4878048780487805,0.08362369337979095,0.05574912891986063,0.027874564459930314,0.006968641114982578,0.0,0.1547166923456466,align:counter_trend
10,6.0,3600,286,0.18181818181818182,-1.8140509629171944,-2.189748523540529,-518.8185753943176,9.4116753706837,-12.991347837223108,4.173257981138608,1.8313610629232804,988.0,0.7027972027972028,0.12237762237762238,0.08741258741258741,0.05244755244755245,0.027972027972027972,0.0,0.20587348859256335,align:counter_trend
10,6.0,14400,284,0.13732394366197184,-1.6935192592699282,-2.2709282681666343,-480.9594696326596,39.59846638333635,-12.991347837223108,7.770253850038118,1.8359150430623452,944.5,0.8309859154929577,0.1267605633802817,0.1056338028169014,0.0880281690140845,0.04929577464788732,0.014084507042253521,0.33034742932004435,align:counter_trend
10,6.0,86400,274,0.04744525547445255,-1.5375491056737036,-2.3956958841652516,-421.2884549545948,93.62917167786276,-12.991347837223108,17.97571842952574,1.8250819789723511,821.5,0.948905109489051,0.040145985401459854,0.0364963503649635,0.0364963503649635,0.0364963503649635,0.021897810218978103,0.45326726968989955,align:counter_trend
3,4.0,900,884,0.16176470588235295,-1.3133500789003314,-2.104094979311684,-1161.001469747893,11.640862136990656,-7.716441845020008,1.8771068522588172,1.387153135240822,900.0,0.49660633484162897,0.09841628959276018,0.049773755656108594,0.029411764705882353,0.013574660633484163,0.003393665158371041,0.19281220608867344,align:unknown
3,4.0,3600,884,0.16515837104072398,-1.2849175728806352,-2.1200526935574002,-1135.8671344264815,14.980912816384045,-7.716441845020008,3.6208016748026406,1.387153135240822,914.5,0.7126696832579186,0.1165158371040724,0.09049773755656108,0.07239819004524888,0.05090497737556561,0.011312217194570135,0.3214452700026298,align:unknown
3,4.0,14400,884,0.13009049773755657,-1.3251546987936715,-2.1610549353235413,-1171.4367537336057,22.880210540758657,-7.716441845020008,6.825642236829941,1.387153135240822,914.5,0.833710407239819,0.09954751131221719,0.07918552036199095,0.07013574660633484,0.05542986425339366,0.030542986425339366,0.3641889003262383,align:unknown
3,4.0,86400,884,0.07352941176470588,-0.9063571077545839,-2.2042687012728415,-801.2196832550521,218.646025941726,-7.716441845020008,30.349209130560098,1.387153135240822,914.5,0.9253393665158371,0.07352941176470588,0.07126696832579185,0.06561085972850679,0.05542986425339366,0.053167420814479636,0.6044067208541111,align:unknown
3,6.0,900,264,0.12121212121212122,-1.6282855387965758,-2.0316483976409536,-429.867382242296,11.640862136990656,-7.716441845020008,1.7844417284996617,1.6655557186442655,900.0,0.4734848484848485,0.06439393939393939,0.041666666666666664,0.030303030303030304,0.015151515151515152,0.003787878787878788,0.13306174634009632,align:unknown
3,6.0,3600,264,0.16666666666666666,-1.6342036852334094,-2.1433641955555824,-431.4297729016201,11.49887989469715,-7.716441845020008,3.00850308844626,1.6655557186442655,1093.0,0.6856060606060606,0.10606060606060606,0.07575757575757576,0.056818181818181816,0.03787878787878788,0.007575757575757576,0.2294117161242991,align:unknown
3,6.0,14400,264,0.11742424242424243,-1.7375600662501876,-2.2452233522451914,-458.71585749004953,19.923272109576686,-7.716441845020008,5.941840802268129,1.6655557186442655,1093.0,0.8371212121212122,0.07575757575757576,0.056818181818181816,0.05303030303030303,0.045454545454545456,0.030303030303030304,0.26713180595684044,align:unknown
3,6.0,86400,264,0.056818181818181816,-1.3537574605353302,-2.3200741336806137,-357.39196958132715,73.98258658347699,-7.716441845020008,25.254350807743453,1.6655557186442655,1093.0,0.9431818181818182,0.056818181818181816,0.056818181818181816,0.05303030303030303,0.05303030303030303,0.05303030303030303,0.480939971359874,align:unknown
5,4.0,900,608,0.15460526315789475,-1.3471491088997614,-2.1054657066573093,-819.0666582110549,11.640862136990656,-6.965872321579972,2.0988873788624387,1.460573070955754,884.5,0.5049342105263158,0.10032894736842106,0.05592105263157895,0.03289473684210526,0.01644736842105263,0.004934210526315789,0.19849929340420688,align:unknown
5,4.0,3600,608,0.1825657894736842,-1.2485600719294712,-2.1429482159874302,-759.1245237331185,14.093485094412042,-7.003516265872068,3.9570894742995137,1.460573070955754,884.5,0.7154605263157895,0.13651315789473684,0.11019736842105263,0.0805921052631579,0.054276315789473686,0.011513157894736841,0.3579192398757021,align:unknown
5,4.0,14400,608,0.13651315789473684,-1.3126110626886225,-2.1873864283850954,-798.0675261146824,24.03770099091036,-7.003516265872068,7.056826588769513,1.460573070955754,884.5,0.837171052631579,0.10197368421052631,0.08388157894736842,0.07894736842105263,0.06414473684210527,0.03453947368421053,0.39357404752053804,align:unknown
5,4.0,86400,608,0.05921052631578947,-1.2990204322130552,-2.261495362796926,-789.8044227855376,78.52298872814725,-7.003516265872068,29.85468167154344,1.460573070955754,884.5,0.9407894736842105,0.05921052631578947,0.05756578947368421,0.05592105263157895,0.05098684210526316,0.049342105263157895,0.4595458928023922,align:unknown
5,6.0,900,162,0.1111111111111111,-1.925102894220443,-2.1056411164056286,-311.86666886371177,4.492549000159225,-7.716441845020008,1.9066752290112985,1.8483689571580504,893.0,0.5,0.05555555555555555,0.043209876543209874,0.012345679012345678,0.0,0.0,0.07200193048092132,align:unknown
5,6.0,3600,162,0.1419753086419753,-2.0383504168849598,-2.3044649631640857,-330.21276753536347,6.517676522278047,-7.716441845020008,3.106862012467588,1.8483689571580504,938.5,0.7037037037037037,0.06172839506172839,0.043209876543209874,0.030864197530864196,0.018518518518518517,0.0,0.11417783208837376,align:unknown
5,6.0,14400,162,0.06172839506172839,-2.2824903855023244,-2.457210548029558,-369.7634424513766,19.923272109576686,-7.716441845020008,5.643581483186336,1.8483689571580504,938.5,0.8765432098765432,0.043209876543209874,0.037037037037037035,0.037037037037037035,0.024691358024691357,0.018518518518518517,0.13781062548839987,align:unknown
5,6.0,86400,162,0.030864197530864196,-2.3836382845102344,-2.5265680899991043,-386.149402090658,26.278284148006144,-7.716441845020008,23.840619481293256,1.8483689571580504,938.5,0.9691358024691358,0.030864197530864196,0.030864197530864196,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.16093108167935566,align:unknown
10,4.0,900,364,0.18406593406593408,-1.1846203175736074,-1.575681435770826,-431.2017955967931,12.948296023387101,-6.965872321579972,2.3128171754148616,1.4501026512981594,900.0,0.46153846153846156,0.11813186813186813,0.06593406593406594,0.038461538461538464,0.02197802197802198,0.0027472527472527475,0.24877427369246236,align:unknown
10,4.0,3600,364,0.19505494505494506,-1.2419099318900548,-2.1184059223378746,-452.0552152079799,14.093485094412042,-7.003516265872068,3.991186925925316,1.4501026512981594,1136.0,0.6785714285714286,0.12912087912087913,0.0989010989010989,0.07417582417582418,0.054945054945054944,0.005494505494505495,0.34034595088393027,align:unknown
10,4.0,14400,364,0.10989010989010989,-1.626845461903375,-2.1907549470445904,-592.1717481328285,16.28016098674466,-7.003516265872068,6.491700695162968,1.4501026512981594,1136.0,0.8516483516483516,0.08241758241758242,0.06593406593406594,0.06318681318681318,0.054945054945054944,0.016483516483516484,0.2587218404621687,align:unknown
10,4.0,86400,364,0.04120879120879121,-1.7069786348308993,-2.249906203252314,-621.3402230784474,49.155513796020045,-7.003516265872068,30.44730320481188,1.4501026512981594,1136.0,0.9587912087912088,0.04120879120879121,0.04120879120879121,0.038461538461538464,0.038461538461538464,0.03571428571428571,0.2975139087528734,align:unknown
10,6.0,900,86,0.18604651162790697,-1.409639601769166,-1.337967240907324,-121.22900575214827,4.704230077780789,-7.850476910782262,2.039121823196885,1.569313618324252,900.0,0.3953488372093023,0.09302325581395349,0.03488372093023256,0.011627906976744186,0.0,0.0,0.13628045265936867,align:unknown
10,6.0,3600,86,0.20930232558139536,-1.4519096756232412,-2.105471440300567,-124.86423210359874,7.000725500217458,-7.850476910782262,3.0100192933690555,1.569313618324252,1835.5,0.6162790697674418,0.12790697674418605,0.08139534883720931,0.05813953488372093,0.023255813953488372,0.0,0.23696367826570877,align:unknown
10,6.0,14400,86,0.09302325581395349,-1.9647052919989494,-2.228934716455388,-168.96465511190965,10.281354422689319,-7.850476910782262,4.874202698341279,1.569313618324252,1835.5,0.8372093023255814,0.05813953488372093,0.046511627906976744,0.03488372093023256,0.03488372093023256,0.011627906976744186,0.15737745544155674,align:unknown
10,6.0,86400,86,0.05813953488372093,-1.1441770732252097,-2.260827061004493,-98.39922829736804,49.155513796020045,-7.850476910782262,24.564556563984603,1.569313618324252,1835.5,0.9418604651162791,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.046511627906976744,0.5414064303243067,align:unknown
