window_s,sigma_mult,impulse_age_s,n,median_impulse_bps,median_mfe_bps,p75_mfe_bps,median_ret_bps,median_cost_bps,win_rate_after_cost,mean_net_bps,mfe_cost_multiple,required_multiple,ceiling_clears_bar
3,6.0,0,134,29.999741370234645,89.65657951143305,90.3997641643505,13.479988226751539,20.48844078366132,0.007462686567164179,-7.6916233190746315,4.375959130229687,3.0,true
3,4.0,0,174,29.986486526900613,89.60643915764516,90.388086272296,13.426012782239255,20.480160973984596,0.017241379310344827,-7.743743452924555,4.375280022040346,3.0,true
3,4.0,1,174,29.986486526900613,79.69914739929487,80.29984779217865,1.9307064341950264,20.479490013226993,0.017241379310344827,-15.44104088730489,3.8916568404691696,3.0,true
3,6.0,1,134,29.999741370234645,79.73848080406873,80.32380937624724,1.9838804760672937,20.487912596465193,0.007462686567164179,-17.915029061275757,3.8919768145548472,3.0,true
3,4.0,2,174,29.986486526900613,69.76272240838037,70.22641078216584,-9.405021645302213,20.48204511070704,0.017241379310344827,-23.14300341145427,3.406042806336352,3.0,true
3,6.0,2,134,29.999741370234645,69.81494660261733,70.24659911014945,-9.491498833994683,20.489775330288406,0.007462686567164179,-28.143095375816078,3.407306594495228,3.0,true
3,6.0,3,134,29.999741370234645,59.86874496794979,60.17653277836336,-20.989219281436927,20.487865541851008,0.0,-38.509198724192295,2.9221562805385757,3.0,false
3,4.0,3,174,29.986486526900613,59.833726975123085,60.163419435854934,-20.89448886855931,20.47990680298896,0.011494252873563218,-31.01656408274112,2.921581995011354,3.0,false
3,4.0,5,174,29.986486526900613,39.92913255937949,40.06383854184079,-43.895109266630485,20.485473357075374,0.011494252873563218,-46.65305817520197,1.9491437597456622,3.0,false
3,6.0,5,134,29.999741370234645,39.96726420580565,40.08140491957841,-43.949455501477225,20.490353814012302,0.0,-59.10964492574031,1.9505404625309148,3.0,false
