window_s,sigma_mult,max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor,stratum
10,4.0,900,315,0.012698412698412698,-0.4534711754710675,-0.12879427039669922,-142.84342027338627,14.934510242387592,-2.7227263647585063,0.3642465475193841,0.4399126134800689,900.0,0.06349206349206349,0.009523809523809525,0.0031746031746031746,0.0031746031746031746,0.0031746031746031746,0.0031746031746031746,0.1091880637289635,align:counter_trend
5,4.0,900,356,0.008426966292134831,-0.570874788710058,-0.22859834904308773,-203.23142478078066,3.083136780348225,-2.356758467494366,0.2873685885341124,0.5247058748064034,900.0,0.06741573033707865,0.008426966292134831,0.0056179775280898875,0.0028089887640449437,0.0,0.0,0.03606824941133543,align:counter_trend
10,6.0,900,255,0.011764705882352941,-0.3501750113645512,-0.12679872740692213,-89.29462789796055,1.0413441612020697,-2.7227263647585063,0.17908666064252962,0.27223563880211793,900.0,0.054901960784313725,0.00392156862745098,0.0,0.0,0.0,0.0,0.021449625980015576,align:counter_trend
3,6.0,900,282,0.010638297872340425,-0.5020815236703011,-0.37216068999834784,-141.5869896750249,4.6828845000169155,-2.203718271278104,0.2387382156683185,0.4879854756528368,900.0,0.05673758865248227,0.010638297872340425,0.010638297872340425,0.0070921985815602835,0.0,0.0,0.07470008007734781,align:counter_trend
3,4.0,900,355,0.005633802816901409,-0.6015166408759859,-0.3784054329332473,-213.538407510975,13.417375873799601,-2.364726509321313,0.3509885390941696,0.6025229680029814,900.0,0.05352112676056338,0.005633802816901409,0.005633802816901409,0.005633802816901409,0.0028169014084507044,0.0028169014084507044,0.07500156038937958,align:counter_trend
5,6.0,900,257,0.01556420233463035,-0.40405228688410133,-0.22260618893303863,-103.84143772921404,3.229422888913173,-2.356758467494366,0.1959082548104446,0.3710118077865096,900.0,0.06614785992217899,0.011673151750972763,0.007782101167315175,0.0038910505836575876,0.0,0.0,0.07294861955381961,align:counter_trend
5,6.0,3600,257,0.011673151750972763,-0.7103791441934784,-0.25038090469200863,-182.56744005772393,3.2391537920415487,-2.356758467494366,1.0268326516233777,0.3710118077865096,3600.0,0.3657587548638132,0.011673151750972763,0.007782101167315175,0.0038910505836575876,0.0,0.0,0.0388373256498371,align:counter_trend
10,4.0,3600,315,0.012698412698412698,-0.6999005565797046,-1.0036940107586154,-220.46867532260694,14.990171536940455,-2.7667943410581137,1.3249326817885547,0.4399126134800689,3600.0,0.23174603174603176,0.012698412698412698,0.006349206349206349,0.0031746031746031746,0.0031746031746031746,0.0031746031746031746,0.08186322456759695,align:counter_trend
3,4.0,3600,355,0.005633802816901409,-0.8530295695140407,-0.443442531468075,-302.82549717748446,13.564733546788796,-2.364726509321313,1.5089445879036218,0.6025229680029814,3600.0,0.29859154929577464,0.005633802816901409,0.005633802816901409,0.005633802816901409,0.0028169014084507044,0.0028169014084507044,0.05445110770565276,align:counter_trend
3,6.0,3600,282,0.014184397163120567,-0.7523290449528754,-0.4064597870269717,-212.15679067671087,4.735780712929099,-2.2409982088810043,1.1276256079029179,0.4879854756528368,3600.0,0.30851063829787234,0.014184397163120567,0.014184397163120567,0.0070921985815602835,0.0,0.0,0.062311307993509334,align:counter_trend
10,6.0,3600,255,0.00784313725490196,-0.5799953301070411,-0.1389708958982538,-147.89880917729548,1.0493853683235104,-2.7667943410581137,0.6577202995319905,0.27223563880211793,3600.0,0.1843137254901961,0.00392156862745098,0.0,0.0,0.0,0.0,0.012017080926471167,align:counter_trend
5,4.0,3600,356,0.011235955056179775,-0.841087267811251,-1.0703515889574684,-299.42706734080537,3.08661755848772,-2.356758467494366,1.3533788453277091,0.5247058748064034,3600.0,0.33707865168539325,0.008426966292134831,0.0056179775280898875,0.0028089887640449437,0.0,0.0,0.027430023337612415,align:counter_trend
5,6.0,14400,257,0.011673151750972763,-1.3585975171587656,-1.2295544787734414,-349.1595619098028,1.6687288402925486,-3.1652358025097094,3.3982364118470985,0.3710118077865096,5224.0,0.9844357976653697,0.0038910505836575876,0.0,0.0,0.0,0.0,0.007432707171062198,align:counter_trend
5,4.0,14400,356,0.008426966292134831,-1.5288567348679243,-1.2296461620688972,-544.272997612981,1.548222984397014,-3.1652358025097094,5.100552114260533,0.5247058748064034,4962.0,0.9887640449438202,0.0056179775280898875,0.0,0.0,0.0,0.0,0.005244793231581718,align:counter_trend
3,6.0,14400,282,0.010638297872340425,-1.4712120028316233,-1.3826618600049558,-414.8817847985178,2.060422378417966,-3.1652358025097094,4.470176458241639,0.4879854756528368,5382.0,0.9787234042553191,0.0070921985815602835,0.0035460992907801418,0.0,0.0,0.0,0.008200965086967129,align:counter_trend
10,4.0,14400,315,0.009523809523809525,-1.4126530032287348,-1.1297214866745018,-444.98569601705145,6.959244477894444,-3.689197331233378,4.177531933098369,0.4399126134800689,7335.0,0.9111111111111111,0.0031746031746031746,0.0031746031746031746,0.0031746031746031746,0.0031746031746031746,0.0,0.016410915827156043,align:counter_trend
10,6.0,14400,255,0.00392156862745098,-1.2660816331619784,-1.1296612651227351,-322.85081645630447,0.15385133372881588,-3.689197331233378,2.2956109304235555,0.27223563880211793,8010.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0004763130352928081,align:counter_trend
3,4.0,14400,355,0.005633802816901409,-1.5869437535268087,-1.3827728479257126,-563.3650325020171,5.7082231285241045,-3.1652358025097094,5.864267629486768,0.6025229680029814,5508.0,0.9830985915492958,0.005633802816901409,0.0028169014084507044,0.0028169014084507044,0.0028169014084507044,0.0,0.011921368865109817,align:counter_trend
5,6.0,86400,257,0.0,-1.3755220307013207,-1.2295588085916314,-353.50916189023945,-0.11790868910527987,-3.1652358025097094,5.114392312450479,0.3710118077865096,5224.0,0.9883268482490273,0.0,0.0,0.0,0.0,0.0,0.0,align:counter_trend
10,6.0,86400,255,0.0,-1.2801204433188875,-1.1296712949825836,-326.4307130463163,-0.13366770137622744,-3.689197331233378,3.5117295570590947,0.27223563880211793,8010.0,0.996078431372549,0.0,0.0,0.0,0.0,0.0,0.0,align:counter_trend
3,6.0,86400,282,0.0,-1.4988169452834523,-1.3826714309256873,-422.66637856993356,-0.32799775584596547,-3.1652358025097094,6.868769441342993,0.4879854756528368,5382.0,0.9893617021276596,0.0,0.0,0.0,0.0,0.0,0.0,align:counter_trend
10,4.0,86400,315,0.0,-1.4532937838448536,-1.1297344549276003,-457.7875419111289,-0.10875513360940482,-3.689197331233378,5.951399660256359,0.4399126134800689,7335.0,0.9936507936507937,0.0,0.0,0.0,0.0,0.0,0.0,align:counter_trend
5,4.0,86400,356,0.0,-1.5429295630030817,-1.2296467229321142,-549.2829244290971,-0.20729858341457466,-3.1652358025097094,7.312766063928075,0.5247058748064034,4962.0,0.9915730337078652,0.0,0.0,0.0,0.0,0.0,0.0,align:counter_trend
3,4.0,86400,355,0.0,-1.616811391890058,-1.3828129299030374,-573.9680441209706,-0.32723551750637847,-3.1652358025097094,8.532154843467323,0.6025229680029814,5508.0,0.9887323943661972,0.0,0.0,0.0,0.0,0.0,0.0,align:counter_trend
10,6.0,900,15,0.0,-0.6177313177863398,-0.12729754987394276,-9.265969766795097,-0.11774864624384117,-1.2440951479255107,0.20104262289463026,0.3408489496771648,900.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,align:unknown
3,4.0,900,28,0.0,-0.6520520756627465,-0.38416018760620585,-18.2574581185569,-0.34842526402507634,-1.7337455158232211,0.22491932735640144,0.5314315231321501,900.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,align:unknown
5,4.0,900,23,0.0,-0.6510614400306495,-0.22621114891370384,-14.974413120704938,-0.19990322591939588,-1.4341047275795085,0.24011351608997966,0.4743600613892342,900.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,align:unknown
10,4.0,900,20,0.0,-0.6855495064691198,-1.035952764636027,-13.710990129382397,-0.11219993927701379,-1.2440951479255107,0.17212282015656793,0.48184075833154144,900.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,align:unknown
3,6.0,900,22,0.0,-0.6530565025476371,-0.366873530072102,-14.367243056048016,-0.3270997966288292,-1.7337455158232211,0.28742365691160265,0.5099338830525328,900.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,align:unknown
