window_s,sigma_mult,max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor
3,4.0,900,828,0.004830917874396135,-0.777278481190341,-0.38669296999997044,-643.5865824256024,13.417375873799601,-2.590560273231702,0.6125620682145184,0.6297834000508093,900.0,0.17270531400966183,0.0036231884057971015,0.0024154589371980675,0.0024154589371980675,0.0012077294685990338,0.0012077294685990338,0.02864071137675928
3,4.0,3600,828,0.004830917874396135,-1.016311443256988,-1.1171668086198792,-841.505875016786,13.564733546788796,-2.6236037441714863,1.7778597468158124,0.6297834000508093,3600.0,0.4106280193236715,0.0036231884057971015,0.0036231884057971015,0.0036231884057971015,0.0024154589371980675,0.0012077294685990338,0.029719465257598634
3,4.0,14400,828,0.0024154589371980675,-1.638426055836827,-1.3994845282269477,-1356.6167742328928,5.7082231285241045,-3.692066301786888,5.582598617542428,0.6297834000508093,4557.0,0.9867149758454107,0.0024154589371980675,0.0012077294685990338,0.0012077294685990338,0.0012077294685990338,0.0,0.004985363076356857
3,4.0,86400,828,0.0,-1.651231625424935,-1.3996861018716786,-1367.2197858518462,-0.32723551750637847,-3.692066301786888,7.139367788559543,0.6297834000508093,4557.0,0.9891304347826086,0.0,0.0,0.0,0.0,0.0,0.0
3,6.0,900,642,0.006230529595015576,-0.6985413571512488,-0.3757202277737118,-448.4635512911017,4.6828845000169155,-2.590560273231702,0.5183609467595459,0.5180939041501985,900.0,0.19781931464174454,0.004672897196261682,0.004672897196261682,0.003115264797507788,0.0,0.0,0.02571884390073254
3,6.0,3600,642,0.009345794392523364,-0.9170559715374638,-1.035941633250105,-588.7499337270517,4.735780712929099,-2.6236037441714863,1.3377778765835149,0.5180939041501985,3600.0,0.4174454828660436,0.00778816199376947,0.006230529595015576,0.003115264797507788,0.0,0.0,0.02727303869580584
3,6.0,14400,642,0.004672897196261682,-1.520063865619334,-1.3874397074920441,-975.8810017276123,2.060422378417966,-3.692066301786888,4.093146798531087,0.5180939041501985,4404.5,0.9844236760124611,0.003115264797507788,0.001557632398753894,0.0,0.0,0.0,0.003503037330085996
3,6.0,86400,642,0.0,-1.5321894010888288,-1.3880178708956215,-983.6655954990281,-0.32799775584596547,-3.692066301786888,5.470223531607711,0.5180939041501985,4404.5,0.9890965732087228,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0,900,810,0.003703703703703704,-0.6945849031994845,-0.2342808941048998,-562.6137715915825,3.083136780348225,-2.590560273231702,0.4123713979798605,0.5158022519756248,900.0,0.18518518518518517,0.003703703703703704,0.0024691358024691358,0.0012345679012345679,0.0,0.0,0.01333609021528572
5,4.0,3600,810,0.007407407407407408,-0.9360144807947394,-1.1366358127600624,-758.1717294437389,3.08661755848772,-2.6236037441714863,1.4413757153454072,0.5158022519756248,3600.0,0.42592592592592593,0.0049382716049382715,0.0024691358024691358,0.0012345679012345679,0.0,0.0,0.013545390598307373
5,4.0,14400,810,0.003703703703703704,-1.5257733406757477,-1.2419011966425488,-1235.8764059473556,1.548222984397014,-3.692066301786888,4.750428985237134,0.5158022519756248,4327.0,0.9876543209876543,0.0024691358024691358,0.0,0.0,0.0,0.0,0.0023165765422980735
5,4.0,86400,810,0.0,-1.531958435510459,-1.2419818291507212,-1240.8863327634717,-0.20383906465156115,-3.692066301786888,6.134756007933473,0.5158022519756248,4327.0,0.9888888888888889,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0,900,642,0.006230529595015576,-0.5656337032487179,-0.2258118778672341,-363.13683748567684,3.229422888913173,-2.590560273231702,0.35363070535552354,0.3615230673826481,900.0,0.21339563862928349,0.004672897196261682,0.003115264797507788,0.001557632398753894,0.0,0.0,0.02200643313053682
5,6.0,3600,642,0.009345794392523364,-0.7929506480087172,-1.0879928493884905,-509.0743160215964,3.2391537920415487,-2.6236037441714863,0.9562360130333045,0.3615230673826481,3600.0,0.440809968847352,0.006230529595015576,0.003115264797507788,0.001557632398753894,0.0,0.0,0.019268050733200214
5,6.0,14400,642,0.004672897196261682,-1.3619742891405207,-1.2309000948075897,-874.3874936282143,1.6687288402925486,-3.692066301786888,2.962484782049967,0.3615230673826481,4263.0,0.9875389408099688,0.001557632398753894,0.0,0.0,0.0,0.0,0.0029813320957885374
5,6.0,86400,642,0.0,-1.368749366991668,-1.2310834992173163,-878.7370936086509,-0.11790868910527987,-3.692066301786888,3.8933916602295873,0.3615230673826481,4263.0,0.9890965732087228,0.0,0.0,0.0,0.0,0.0,0.0
10,4.0,900,786,0.007633587786259542,-0.5748068263601975,-0.13130093359885622,-451.7981655191153,14.934510242387592,-2.7227263647585063,0.39008433198187137,0.4111816216057567,900.0,0.17557251908396945,0.003816793893129771,0.001272264631043257,0.001272264631043257,0.001272264631043257,0.001272264631043257,0.03807434921289503
10,4.0,3600,786,0.006361323155216285,-0.8165327288566844,-1.0341646774012818,-641.7947248813539,14.990171536940455,-2.7667943410581137,1.1752827537661388,0.4111816216057567,3600.0,0.3282442748091603,0.005089058524173028,0.002544529262086514,0.001272264631043257,0.001272264631043257,0.001272264631043257,0.03009170596495607
10,4.0,14400,786,0.003816793893129771,-1.3932758028601986,-1.129745860303795,-1095.1147810481161,6.959244477894444,-3.689197331233378,3.69125973695927,0.4111816216057567,6709.5,0.8206106870229007,0.001272264631043257,0.001272264631043257,0.001272264631043257,0.001272264631043257,0.0,0.006733968971280809
10,4.0,86400,786,0.0,-1.42415413597427,-1.1297685286398969,-1119.3851508757762,-0.10875513360940482,-3.689197331233378,4.795718488618901,0.4111816216057567,6709.5,0.9936386768447837,0.0,0.0,0.0,0.0,0.0,0.0
10,6.0,900,642,0.009345794392523364,-0.45899790887465247,-0.12764692303703642,-294.6766574975269,1.0413441612020697,-2.7227263647585063,0.20997168174589229,0.2543686414880368,900.0,0.1853582554517134,0.001557632398753894,0.0,0.0,0.0,0.0,0.010621717390654224
10,6.0,3600,642,0.006230529595015576,-0.6930319590265301,-1.0181472586701092,-444.9265176950323,1.0493853683235104,-2.7667943410581137,0.6035020362573663,0.2543686414880368,3600.0,0.3146417445482866,0.001557632398753894,0.0,0.0,0.0,0.0,0.004900425200463209
10,6.0,14400,642,0.001557632398753894,-1.2357053422879738,-1.1296654486972848,-793.3228297488791,0.15385133372881588,-3.689197331233378,2.0689230551065334,0.2543686414880368,7476.0,0.780373831775701,0.0,0.0,0.0,0.0,0.0,0.00019389521758711721
10,6.0,86400,642,0.0,-1.258882972359589,-1.12970673472444,-808.2028682548561,-0.13366770137622744,-3.689197331233378,2.7167008732837,0.2543686414880368,7476.0,0.9922118380062306,0.0,0.0,0.0,0.0,0.0,0.0
