symbol,date,status,path,rows,trades,empty_seconds,long_gaps,gap_seconds
SYNTHSTRONG,2025-01-01,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-01.parquet,86400,491946,2944,0,0
SYNTHSTRONG,2025-01-02,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-02.parquet,86400,473209,3017,0,0
SYNTHSTRONG,2025-01-03,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-03.parquet,86400,459032,3170,0,0
SYNTHSTRONG,2025-01-04,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-04.parquet,86400,478889,2922,0,0
SYNTHSTRONG,2025-01-05,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-05.parquet,86400,541603,2673,0,0
SYNTHSTRONG,2025-01-06,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-06.parquet,86400,506346,2866,0,0
SYNTHSTRONG,2025-01-07,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-07.parquet,86400,455487,3167,0,0
SYNTHSTRONG,2025-01-08,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-08.parquet,86400,446875,3214,0,0
SYNTHSTRONG,2025-01-09,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-09.parquet,86400,476060,3054,0,0
SYNTHSTRONG,2025-01-10,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-10.parquet,86400,462267,2989,0,0
SYNTHSTRONG,2025-01-11,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-11.parquet,86400,492349,2992,0,0
SYNTHSTRONG,2025-01-12,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-12.parquet,86400,481799,3143,0,0
SYNTHSTRONG,2025-01-13,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-13.parquet,86400,406159,3343,0,0
SYNTHSTRONG,2025-01-14,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-14.parquet,86400,523869,2743,0,0
SYNTHSTRONG,2025-01-15,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-15.parquet,86400,493510,2943,0,0
SYNTHSTRONG,2025-01-16,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-16.parquet,86400,470567,3026,0,0
SYNTHSTRONG,2025-01-17,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-17.parquet,86400,437796,3310,0,0
SYNTHSTRONG,2025-01-18,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-18.parquet,86400,470480,3078,0,0
SYNTHSTRONG,2025-01-19,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-19.parquet,86400,555897,2621,0,0
SYNTHSTRONG,2025-01-20,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-20.parquet,86400,470744,3000,0,0
SYNTHSTRONG,2025-01-21,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-21.parquet,86400,461047,3130,0,0
SYNTHSTRONG,2025-01-22,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-22.parquet,86400,472321,3120,0,0
SYNTHSTRONG,2025-01-23,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-23.parquet,86400,486535,2991,0,0
SYNTHSTRONG,2025-01-24,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-24.parquet,86400,487862,2980,0,0
SYNTHSTRONG,2025-01-25,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-25.parquet,86400,473214,3118,0,0
SYNTHSTRONG,2025-01-26,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-26.parquet,86400,443755,3170,0,0
SYNTHSTRONG,2025-01-27,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-27.parquet,86400,434847,3228,0,0
SYNTHSTRONG,2025-01-28,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-28.parquet,86400,463221,3083,0,0
SYNTHSTRONG,2025-01-29,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-29.parquet,86400,544093,2637,0,0
SYNTHSTRONG,2025-01-30,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-30.parquet,86400,491477,2941,0,0
SYNTHSTRONG,2025-01-31,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-01-31.parquet,86400,523398,2797,0,0
SYNTHSTRONG,2025-02-01,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-01.parquet,86400,448964,3238,0,0
SYNTHSTRONG,2025-02-02,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-02.parquet,86400,502498,2925,0,0
SYNTHSTRONG,2025-02-03,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-03.parquet,86400,491861,2933,0,0
SYNTHSTRONG,2025-02-04,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-04.parquet,86400,433975,3275,0,0
SYNTHSTRONG,2025-02-05,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-05.parquet,86400,445926,3221,0,0
SYNTHSTRONG,2025-02-06,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-06.parquet,86400,477724,3061,0,0
SYNTHSTRONG,2025-02-07,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-07.parquet,86400,477233,2938,0,0
SYNTHSTRONG,2025-02-08,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-08.parquet,86400,492844,2857,0,0
SYNTHSTRONG,2025-02-09,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-09.parquet,86400,474223,3019,0,0
SYNTHSTRONG,2025-02-10,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-10.parquet,86400,443458,3201,0,0
SYNTHSTRONG,2025-02-11,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-11.parquet,86400,460870,3179,0,0
SYNTHSTRONG,2025-02-12,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-12.parquet,86400,473783,3038,0,0
SYNTHSTRONG,2025-02-13,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-13.parquet,86400,482621,3014,0,0
SYNTHSTRONG,2025-02-14,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-14.parquet,86400,483059,2986,0,0
SYNTHSTRONG,2025-02-15,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-15.parquet,86400,441608,3189,0,0
SYNTHSTRONG,2025-02-16,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-16.parquet,86400,452164,3261,0,0
SYNTHSTRONG,2025-02-17,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-17.parquet,86400,570244,2557,0,0
SYNTHSTRONG,2025-02-18,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-18.parquet,86400,432061,3283,0,0
SYNTHSTRONG,2025-02-19,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-19.parquet,86400,412515,3502,0,0
SYNTHSTRONG,2025-02-20,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-20.parquet,86400,457462,3140,0,0
SYNTHSTRONG,2025-02-21,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-21.parquet,86400,495446,2988,0,0
SYNTHSTRONG,2025-02-22,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-22.parquet,86400,587502,2480,0,0
SYNTHSTRONG,2025-02-23,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-23.parquet,86400,485908,3079,0,0
SYNTHSTRONG,2025-02-24,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-24.parquet,86400,476068,3039,0,0
SYNTHSTRONG,2025-02-25,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-25.parquet,86400,465800,3169,0,0
SYNTHSTRONG,2025-02-26,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-26.parquet,86400,439586,3261,0,0
SYNTHSTRONG,2025-02-27,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-27.parquet,86400,502725,2819,0,0
SYNTHSTRONG,2025-02-28,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-02-28.parquet,86400,529449,2707,0,0
SYNTHSTRONG,2025-03-01,ok,/home/user/biz002/data/bars/SYNTHSTRONG/2025-03-01.parquet,86400,470433,3086,0,0
