rule_id,baseline,n_paired,mean_diff_pct,t_stat_paired,p_value,beats_baseline_p05
E3_20,E4_60s,361,-0.42608609585348656,-13.42367643660164,1.364151716395122e-33,false
E3_30,E4_60s,361,-1.0059161072835436,-32.58726193019033,2.008461359187172e-109,false
E2,E4_60s,361,-1.311749582247043,-50.92175273521646,1.3737936615320116e-166,false
E3_50,E4_60s,361,-1.422183939620086,-83.4192217235343,1.4791325243957818e-237,false
E1_20,E4_60s,361,-1.716851531200264,-92.86657325377614,1.381878390199858e-253,false
E5_20,E4_60s,361,-1.7176958682064445,-92.97649324267073,9.181315487974469e-254,false
E1_30,E4_60s,361,-1.7350385086139142,-92.81779930961848,1.6569953032567917e-253,false
E5_30,E4_60s,361,-1.7352159961564144,-92.83195061698785,1.5719521975368485e-253,false
E1_50,E4_60s,361,-1.7354226412195948,-92.85516767750036,1.4418015337825805e-253,false
E5_50,E4_60s,361,-1.7356001287620955,-92.86937462516376,1.367546445027713e-253,false
