hour_jst,dow_jst,net_mean_pct,n_events
0,1,1.7264947173873377,2.0
0,2,1.5440800272873005,5.0
0,3,1.6964654195069497,1.0
0,4,1.554924617870849,1.0
0,5,0.9724639422634764,4.0
0,6,2.1124091974157087,3.0
0,7,1.678115796621131,5.0
1,1,1.7123498777763175,2.0
1,2,1.4740222473194606,1.0
1,3,1.667584374706556,2.0
1,4,1.7071410226585884,2.0
1,5,1.8823028631167764,1.0
1,6,1.24922081755914,2.0
1,7,1.5227804367456994,2.0
2,1,1.308937648939309,3.0
2,2,1.7525889834720991,2.0
2,3,1.8195538938380027,1.0
2,4,1.6776625012993795,1.0
2,5,1.65802528001006,1.0
2,6,1.7257426946335102,2.0
2,7,1.2403747432079044,4.0
3,1,1.464706393895155,3.0
3,2,1.4178266801257475,2.0
3,3,1.347284858004741,3.0
3,4,1.3355008901213004,2.0
3,5,1.8250305034342806,1.0
3,6,1.3371067422510707,3.0
3,7,1.5320592962147177,5.0
4,1,1.2479412556145384,2.0
4,2,1.5918699402650656,3.0
4,3,1.6284467512577754,3.0
4,4,1.4879771746630353,2.0
4,5,1.4092907811302329,3.0
4,6,1.20681884021197,2.0
4,7,1.3305945825633103,3.0
5,1,1.4591114473485804,1.0
5,2,1.8017735234515024,4.0
5,3,1.164615824542099,1.0
5,4,1.6709771803842208,1.0
5,5,1.6741447503530518,4.0
5,6,1.5051894189524546,3.0
5,7,1.0417103343649883,1.0
6,1,1.5708441287336776,1.0
6,2,1.2288368272481374,1.0
6,3,1.7378024566094126,2.0
6,4,1.5806507449747407,3.0
6,5,1.4874277221894188,1.0
6,6,1.7320837033223213,3.0
6,7,,0.0
7,1,1.601959949635065,3.0
7,2,1.3781831818399088,2.0
7,3,3.7441601166444918,1.0
7,4,1.6454939404556963,3.0
7,5,1.6241766262715949,4.0
7,6,1.6363615180579958,1.0
7,7,1.5852917570312304,2.0
8,1,1.537828905202895,1.0
8,2,1.7007504371797668,2.0
8,3,1.5413342811101058,2.0
8,4,1.3920386794627742,5.0
8,5,1.7082299270135954,1.0
8,6,1.4216774526293314,2.0
8,7,1.6313410295051833,3.0
9,1,,0.0
9,2,,0.0
9,3,,0.0
9,4,,0.0
9,5,,0.0
9,6,,0.0
9,7,,0.0
10,1,,0.0
10,2,,0.0
10,3,,0.0
10,4,,0.0
10,5,,0.0
10,6,,0.0
10,7,,0.0
11,1,1.6624635404440302,4.0
11,2,1.587301548185573,5.0
11,3,1.6290705493379756,2.0
11,4,2.3653220606973115,3.0
11,5,1.3733439885771572,3.0
11,6,1.3244015252134487,2.0
11,7,1.2475275707816456,2.0
12,1,1.4701347883442575,3.0
12,2,1.4715464652474268,2.0
12,3,1.5419823527561507,4.0
12,4,1.3136587229868595,2.0
12,5,1.3404308855718923,1.0
12,6,1.4533837409613193,2.0
12,7,,0.0
13,1,1.8076075450076814,1.0
13,2,1.3954076780178963,3.0
13,3,1.6128154010757478,4.0
13,4,1.7941786246346092,3.0
13,5,0.08857707504340451,2.0
13,6,1.0680216937969074,1.0
13,7,1.3087723084814546,4.0
14,1,1.3899495889810682,1.0
14,2,1.2742224497581418,6.0
14,3,1.4564973709679634,3.0
14,4,1.3966402776630935,1.0
14,5,1.4276343684038066,6.0
14,6,1.3905888118126852,2.0
14,7,1.487954426282537,4.0
15,1,1.348033987243629,2.0
15,2,1.8788350422815072,1.0
15,3,1.2190020952567604,1.0
15,4,1.3121018468903942,3.0
15,5,1.451010016494946,2.0
15,6,1.7016487510361997,5.0
15,7,1.482934461876482,3.0
16,1,1.475703399702748,2.0
16,2,1.71129219027083,2.0
16,3,1.3656073873294807,2.0
16,4,1.515173169474646,1.0
16,5,1.4722089011370463,8.0
16,6,1.678897438406778,2.0
16,7,1.2225691037976143,3.0
17,1,1.3793349717955143,2.0
17,2,1.55365455877559,2.0
17,3,,0.0
17,4,1.1703746928119754,3.0
17,5,1.6319564458495568,3.0
17,6,1.4085368626572006,2.0
17,7,2.672161427397619,2.0
18,1,,0.0
18,2,1.527810269373179,2.0
18,3,1.6006406188319755,1.0
18,4,0.9523462589433491,2.0
18,5,1.5990102125376746,3.0
18,6,1.572072204930079,1.0
18,7,1.6571109803475275,2.0
19,1,1.2973856249301123,1.0
19,2,1.3600899632005943,3.0
19,3,1.319506807354896,4.0
19,4,1.5013151728642813,7.0
19,5,1.154527879147388,3.0
19,6,,0.0
19,7,1.580278304787128,4.0
20,1,1.4508208507091098,2.0
20,2,1.4880752146246419,3.0
20,3,1.2336064888545712,2.0
20,4,1.6308535826183526,2.0
20,5,1.7450046951195162,1.0
20,6,1.450790930836332,5.0
20,7,,0.0
21,1,2.0387899568878955,4.0
21,2,1.3691786316465915,1.0
21,3,,0.0
21,4,1.5439424682283487,3.0
21,5,1.3761136807547911,1.0
21,6,,0.0
21,7,1.7056950570642093,4.0
22,1,1.4254924859691762,3.0
22,2,1.4633388663837517,2.0
22,3,1.18080344308015,2.0
22,4,1.3416258429949124,6.0
22,5,1.4919165625092827,3.0
22,6,1.6927807411450089,4.0
22,7,1.7331748596145906,1.0
23,1,1.2302680801147776,3.0
23,2,1.2161166053157348,1.0
23,3,1.6601006664334692,2.0
23,4,1.5103993253632495,1.0
23,5,1.1615876717960105,1.0
23,6,0.2934085180454473,2.0
23,7,,0.0
