window_s,sigma_mult,impulse_age_s,n,median_impulse_bps,median_mfe_bps,p75_mfe_bps,median_ret_bps,median_cost_bps,win_rate_after_cost,mean_net_bps,mfe_cost_multiple,required_multiple,ceiling_clears_bar
3,6.0,0,164,29.99868216379209,582.5183520299713,618.3765691981281,582.5183520299713,20.488905690254306,0.9146341463414634,529.004411427656,28.43091577638772,3.0,true
3,4.0,0,204,29.98810594578405,582.4172899734671,618.3240830509666,582.4172899734671,20.483289979932263,0.7352941176470589,420.5724807217236,28.433776534144105,3.0,true
3,6.0,1,164,29.99868216379209,582.5088959312463,618.3809150942061,582.5088959312463,20.48674964897486,0.9146341463414634,529.062972076775,28.4334462963672,3.0,true
3,4.0,1,204,29.98810594578405,582.4076983110206,618.3230457263587,582.4076983110206,20.480186758344075,0.7352941176470589,420.66348238581685,28.437616569767606,3.0,true
3,6.0,2,164,29.99868216379209,582.513278464716,618.354138174967,582.513278464716,20.487761485774385,0.9146341463414634,529.1194036477895,28.43225595286153,3.0,true
3,4.0,2,204,29.98810594578405,582.419626710961,618.3107432707922,582.419626710961,20.482473759772024,0.7352941176470589,420.75222933862244,28.43502369595827,3.0,true
3,4.0,3,204,29.98810594578405,582.4172882181736,618.3259026168191,582.4172882181736,20.48254277325951,0.7352941176470589,420.7493238710975,28.434813717490897,3.0,true
3,6.0,3,164,29.99868216379209,582.5045430029176,618.35409678848,582.5045430029176,20.4881793571973,0.9146341463414634,529.0600651472145,28.43124969024099,3.0,true
3,4.0,5,204,29.98810594578405,582.409897139712,618.3194217119711,582.409897139712,20.488697848784177,0.7352941176470589,420.8421155063572,28.42591078448028,3.0,true
3,6.0,5,164,29.99868216379209,582.4895391190175,618.3593821640856,582.4895391190175,20.49349277906341,0.9146341463414634,529.0535692134762,28.42314608830864,3.0,true
3,6.0,7,164,29.99868216379209,582.4878734679221,618.3526792708316,582.4878734679221,20.48875113939292,0.9146341463414634,529.0563389889069,28.429642661235484,3.0,true
3,4.0,7,204,29.98810594578405,582.4080535548496,618.3165560911057,582.4080535548496,20.482320650680446,0.7352941176470589,420.941398101314,28.434671221471252,3.0,true
3,6.0,10,164,29.99868216379209,582.498537211387,618.366832441791,582.498537211387,30.01191721294439,0.9146341463414634,520.780914379429,19.408907904095862,3.0,true
3,4.0,10,204,29.98810594578405,582.3812490591249,618.3068142198287,582.3812490591249,29.998374778319953,0.7352941176470589,414.48128149681077,19.413760024093577,3.0,true
3,4.0,15,204,29.98810594578405,582.4114657338507,618.315113738686,582.4114657338507,30.041366072087932,0.7352941176470589,414.6466801742785,19.38698341268114,3.0,true
3,6.0,15,164,29.99868216379209,582.5037620608026,618.3550045162619,582.5037620608026,30.050242053217694,0.9146341463414634,520.6882396629037,19.384328453302086,3.0,true
3,6.0,20,164,29.99868216379209,582.4974625450982,618.3531133651832,582.4974625450982,30.059514278470175,0.9146341463414634,520.6738716058048,19.378139551719443,3.0,true
3,4.0,20,204,29.98810594578405,582.3994731305961,618.3071142824464,582.3994731305961,30.053497676863717,0.7352941176470589,414.8751854135009,19.378758485703596,3.0,true
3,4.0,30,204,29.98810594578405,582.4085032225278,618.3049382479828,582.4085032225278,30.08011107192012,0.7352941176470589,415.33098336147464,19.36191331973531,3.0,true
3,6.0,30,164,29.99868216379209,582.4934923091052,618.3573347068364,582.4934923091052,30.087062946233,0.9146341463414634,520.6515547679957,19.360264355149873,3.0,true
