calm_window,calm_percentile,sigma,tick,ofi,impact,fold,n,n_wins,sum_net,sum_sq,net_mean_pct,win_rate,sd_net_pct,t_stat
1800,40.0,4.0,10.0,0.4,5.0,8,50,49,71.87255245000122,113.15457531211595,1.4374510490000245,0.98,0.44815493399985734,22.680356886843
3600,40.0,6.0,20.0,0.6,2.0,1,1,1,1.804392172128201,3.2558311108375273,1.804392172128201,1.0,0.0,
3600,15.0,6.0,10.0,0.4,3.0,1,20,20,28.942784473427942,43.124394157413974,1.4471392236713971,1.0,0.25548256750179754,25.331682773328552
7200,25.0,4.0,10.0,0.8,3.0,3,37,37,54.5200097735743,81.95724050557726,1.4735137776641702,1.0,0.2122141833299501,42.23579335749719
3600,15.0,4.0,5.0,0.6,5.0,2,20,20,33.640863447211395,58.85732635174424,1.6820431723605698,1.0,0.3457974519744226,21.753560374793217
1800,25.0,6.0,10.0,0.6,5.0,8,36,36,53.68219522258276,82.88205127528092,1.491172089516188,1.0,0.2844875119230695,31.44964949996317
3600,40.0,5.0,20.0,0.4,5.0,4,3,3,4.09896683948709,7.320819291750877,1.3663222798290302,1.0,0.9274453015351583,2.551675666758994
7200,15.0,5.0,10.0,0.8,3.0,2,15,15,23.762622808336992,40.77414908010275,1.584174853889133,1.0,0.4728333717889965,12.975993643128811
7200,40.0,3.0,20.0,0.4,2.0,8,4,4,5.14227839139223,7.770352923650073,1.2855695978480575,1.0,0.6217170203035054,4.135545773607669
7200,15.0,6.0,10.0,0.8,5.0,5,20,19,26.47177411342433,42.15844352359464,1.3235887056712166,0.95,0.6121877200915331,9.669041775909138
7200,40.0,4.0,5.0,0.8,2.0,0,47,47,70.70812873481287,113.86654298609955,1.5044282709534653,1.0,0.4035504152338769,25.557749930100172
7200,15.0,3.0,5.0,0.4,5.0,4,27,27,48.53921281617672,95.04879523852689,1.7977486228213602,1.0,0.5472832287909584,17.06863168916652
1800,25.0,4.0,5.0,0.6,3.0,5,54,54,89.88652692458308,164.1024749624454,1.6645653134182052,1.0,0.5227012585246574,23.40152579459431
7200,15.0,3.0,5.0,0.4,3.0,6,29,29,56.008693950931075,114.21509043364057,1.931334274170037,1.0,0.4645881492057305,22.386609262104823
1800,25.0,6.0,5.0,0.8,3.0,7,32,31,44.04799262262332,70.8859308863438,1.3764997694569787,0.96875,0.5751263310382786,13.539040294365755
3600,25.0,3.0,10.0,0.4,3.0,2,29,29,44.84705751349632,70.92646573823312,1.5464502590860798,1.0,0.23699924858518712,35.138885717694635
3600,15.0,3.0,5.0,0.8,3.0,5,21,21,32.634511696037286,53.15323078380637,1.554024366477966,1.0,0.34917076195281976,20.39527665879805
3600,25.0,4.0,5.0,0.4,5.0,8,50,50,90.98298766026645,169.30805832074213,1.819659753205329,1.0,0.2766408357780233,46.51134556201859
1800,15.0,4.0,10.0,0.6,3.0,7,14,13,18.79650560564971,32.52169178032996,1.3426075432606936,0.9285714285714286,0.7486069918518272,6.710567075192522
3600,15.0,5.0,10.0,0.4,2.0,4,20,20,31.65409757862291,56.414567644607544,1.5827048789311455,1.0,0.5765356139434792,12.276902283290921
7200,25.0,3.0,5.0,0.4,2.0,4,43,43,76.63963252997996,147.19820696152402,1.7823170355809295,1.0,0.5024246994676902,23.262061765714844
1800,25.0,6.0,10.0,0.8,5.0,4,32,32,48.068470674945274,78.9946787594545,1.5021397085920398,1.0,0.4679785019644354,18.157640486070655
1800,40.0,6.0,20.0,0.8,2.0,1,1,1,1.804392172128201,3.2558311108375273,1.804392172128201,1.0,0.0,
1800,15.0,3.0,10.0,0.4,2.0,2,22,22,34.575512119084706,55.39830164168761,1.5716141872311231,1.0,0.22455631010341157,32.82706216875515
3600,25.0,5.0,10.0,0.6,2.0,8,43,43,64.40334514812102,100.05259409652786,1.4977522127470004,1.0,0.2924584379352778,33.58226942967966
7200,40.0,5.0,10.0,0.4,2.0,3,56,54,83.81811220642646,138.08991821091843,1.4967520036861868,0.9642857142857143,0.47929855605032584,23.36887153139301
7200,15.0,5.0,20.0,0.6,2.0,2,1,1,3.4946974118016163,12.212910000052915,3.4946974118016163,1.0,0.0,
1800,40.0,5.0,10.0,0.4,2.0,1,63,62,89.93246046909834,140.3479215608608,1.4274993725253706,0.9841269841269841,0.4393798905855519,25.78730900521831
7200,25.0,3.0,5.0,0.4,5.0,2,27,27,52.19995663497628,111.43553879724419,1.9333317272213437,1.0,0.6359640312538927,15.796312125529965
7200,40.0,3.0,10.0,0.6,2.0,4,51,51,77.68491653204254,128.05024489481312,1.5232336574910301,1.0,0.4408620045734168,24.67453314659195
7200,25.0,6.0,20.0,0.4,5.0,0,1,1,2.4535292328960447,6.019805696675454,2.4535292328960447,1.0,0.0,
1800,40.0,3.0,20.0,0.8,2.0,8,1,1,0.9190481554669157,0.84464951206714,0.9190481554669157,1.0,0.0,
7200,15.0,4.0,10.0,0.8,5.0,4,18,18,27.13758928318785,46.965218767532676,1.5076438490659916,1.0,0.5966277392071966,10.720908056055313
7200,40.0,5.0,5.0,0.4,3.0,7,51,51,85.13873799319053,147.8471585461789,1.669387019474324,1.0,0.3381613368178315,35.2547929674665
7200,15.0,4.0,5.0,0.4,3.0,1,33,33,58.429024735270545,106.42125225632458,1.7705765071294104,1.0,0.3045587856623157,33.39646775769209
7200,15.0,4.0,10.0,0.4,5.0,6,23,23,38.31031941569399,68.58785034045114,1.6656660615519125,1.0,0.4659131543400632,17.1453708290715
7200,25.0,4.0,10.0,0.4,5.0,1,40,39,55.02546881130313,84.91006598047257,1.375636720282578,0.975,0.4860887998667565,17.89856203331296
1800,25.0,6.0,10.0,0.8,3.0,7,28,27,38.850452682488964,62.518967698359766,1.3875161672317486,0.9642857142857143,0.5648118827156747,12.99909874744863
3600,40.0,5.0,10.0,0.8,2.0,6,47,47,70.15223607680943,111.93418737647643,1.49260076759169,1.0,0.39631196429397475,25.819950546109894
3600,25.0,6.0,20.0,0.6,3.0,6,1,1,2.210490872154681,4.886269895879162,2.210490872154681,1.0,0.0,
1800,15.0,5.0,5.0,0.8,3.0,5,26,26,41.171976623915704,73.55870618428871,1.5835375624582964,1.0,0.578319450811168,13.961987479681842
1800,25.0,5.0,20.0,0.4,2.0,3,1,1,1.7859351689322631,3.189564427629111,1.7859351689322631,1.0,0.0,
3600,40.0,6.0,20.0,0.8,5.0,8,2,2,2.0385300375000144,2.0978891962675092,1.0192650187500072,1.0,0.14172804723344057,10.170593903650547
7200,15.0,4.0,10.0,0.8,3.0,6,22,22,34.73617359147219,60.010706410346685,1.578916981430554,1.0,0.49594412400571397,14.932684418838647
3600,40.0,5.0,20.0,0.4,5.0,2,2,2,4.871579173491824,14.108713385728045,2.435789586745912,1.0,1.497521807496773,2.3002848114922347
3600,15.0,3.0,5.0,0.6,5.0,7,25,25,40.04528808892781,68.0512197099783,1.6018115235571124,1.0,0.40343399836948485,19.85221287783106
3600,15.0,3.0,10.0,0.4,3.0,8,23,23,34.81666894143487,54.216777280338064,1.5137682148449942,1.0,0.26219445334375346,27.688523655473436
1800,40.0,6.0,5.0,0.6,3.0,5,77,77,121.80863872636907,216.94477421889306,1.581930373069728,1.0,0.5648938991594179,24.57343353800915
7200,15.0,4.0,5.0,0.6,2.0,8,33,33,55.250648447328146,95.73750791211995,1.674262074161459,1.0,0.31787589185535314,30.256787690334658
3600,40.0,3.0,20.0,0.8,5.0,2,2,2,4.432423745725105,11.232140201875044,2.2162118728625524,1.0,1.186992026528047,2.6404531939966174
1800,15.0,4.0,5.0,0.8,3.0,6,30,30,44.705561789854066,74.12062491043191,1.4901853929951356,1.0,0.5085832161776315,16.048664773928795
7200,40.0,5.0,5.0,0.8,2.0,1,62,61,88.395144259564,143.2245783865265,1.4257281332187743,0.9838709677419355,0.5309616141189223,21.14313774978543
1800,15.0,4.0,10.0,0.8,3.0,8,24,24,34.98809026325422,52.791996297187936,1.4578370943022592,1.0,0.27858809024609626,25.636106740871377
7200,25.0,5.0,5.0,0.6,2.0,6,41,41,70.41743658748027,128.22696198777487,1.7174984533531772,1.0,0.42676467636397963,25.76913363148106
1800,15.0,3.0,10.0,0.4,2.0,7,14,13,18.79650560564971,32.52169178032996,1.3426075432606936,0.9285714285714286,0.7486069918518272,6.710567075192522
1800,40.0,3.0,10.0,0.4,2.0,2,45,45,71.34491943715736,119.16997067605399,1.5854426541590525,1.0,0.37101495445367155,28.665886697324595
