window_s,sigma_mult,max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor
3,4.0,900,275,0.7490909090909091,32.900825181027024,38.80195579494723,9047.726924782432,137.77104403285338,-2.590560273241916,33.78477941906432,0.8461414707428055,900.0,0.01818181818181818,0.7490909090909091,0.7490909090909091,0.7490909090909091,0.7490909090909091,0.7490909090909091,100.07024799128469
3,4.0,3600,275,0.8145454545454546,41.93046874929092,38.846265477380534,11530.878906055003,137.87986861368128,-2.6236037441763735,42.87709295090487,0.8461414707428055,3600.0,0.05818181818181818,0.8145454545454546,0.8145454545454546,0.8145454545454546,0.8145454545454546,0.8145454545454546,139.5348035857917
3,4.0,14400,275,0.12727272727272726,8.604185192958033,-1.7569955074618993,2366.150928063459,138.57399678753276,-3.617075014346445,48.900300789939635,0.8461414707428055,8126.0,0.7854545454545454,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.12727272727272726,6.342715040695723
3,4.0,86400,275,0.0036363636363636364,-1.692576114924978,-1.9076329081687935,-465.45843160436897,38.793625490148074,-3.617075014346445,49.02868695206246,0.8461414707428055,8126.0,0.8654545454545455,0.0036363636363636364,0.0036363636363636364,0.0036363636363636364,0.0036363636363636364,0.0036363636363636364,0.07693300392997027
3,6.0,900,219,0.91324200913242,38.424447298337775,38.83251241264596,8414.953958335973,119.00865926672066,-2.590560273241916,39.21687914754151,0.7793249310989462,900.0,0.0,0.91324200913242,0.91324200913242,0.91324200913242,0.91324200913242,0.91324200913242,269.60775087292086
3,6.0,3600,219,0.91324200913242,38.424129582624865,38.853217067145934,8414.884378594845,119.10150909883168,-2.6236037441763735,39.23222749047232,0.7793249310989462,3600.0,0.0,0.91324200913242,0.91324200913242,0.91324200913242,0.91324200913242,0.91324200913242,266.2193447577555
3,6.0,14400,219,0.1278538812785388,7.162346802072733,-1.7571741742997682,1568.5539496539286,137.70347450210764,-3.617075014346445,44.31994653907002,0.7793249310989462,8126.0,0.867579908675799,0.1278538812785388,0.1278538812785388,0.1278538812785388,0.1278538812785388,0.1278538812785388,5.342458347425416
3,6.0,86400,219,0.0045662100456621,-1.706906871328071,-1.8947603898431105,-373.8126048208476,38.793625490148074,-3.617075014346445,44.42330253451059,0.7793249310989462,8126.0,0.958904109589041,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.09402093967633006
5,4.0,900,266,0.7631578947368421,20.429997308968396,23.277857492476503,5434.379284185593,137.77104403285338,-2.590560273241916,21.101219628707195,0.6275058919859644,900.0,0.02631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421,63.202081136272746
5,4.0,3600,266,0.8007518796992481,25.294366009099164,23.2900755520082,6728.301358420377,137.95498793271878,-2.6236037441763735,26.0464549530613,0.6275058919859644,3600.0,0.09022556390977443,0.8007518796992481,0.8007518796992481,0.8007518796992481,0.8007518796992481,0.8007518796992481,71.90782846315284
