group,date,range_rate,rank,draw_order
extreme,2025-10-10,0.18613776883091765,1,
extreme,2023-10-23,0.18481284392574227,2,
extreme,2026-02-05,0.17628972404128646,3,
extreme,2024-08-05,0.17404371230540472,4,
extreme,2026-02-06,0.1688919759867884,5,
extreme,2024-03-05,0.1606026284993584,6,
extreme,2023-08-17,0.15764552024261835,7,
extreme,2024-12-05,0.14876470982407483,8,
control,2024-06-21,0.026422244401472193,,1
control,2023-10-28,0.019608878562250312,,2
control,2023-08-31,0.07931579759333539,,3
control,2023-08-27,0.008356428508454175,,4
control,2025-07-01,0.02193625583242367,,5
control,2026-03-25,0.022790420421473324,,6
control,2024-07-15,0.06567811677690062,,7
control,2026-06-11,0.038235539223779466,,8
