archive,url,rows,checksum,checksum_verified
BTCUSDT-1d-2023-08.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2023-08.zip,31,41b24c62e3d1faffb51c0ac9be01d771a6bfb2e3867b8dbe05786d3f700ed8c4,true
BTCUSDT-1d-2023-09.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2023-09.zip,30,1e96a90b3df6f41b55ab34fdfadc77d1837eae039155e1f0a4e7629fdbe019de,true
BTCUSDT-1d-2023-10.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2023-10.zip,31,35af8f19a76011935111104919ed535c63a225b1334f36eaa9e488e7a228dd67,true
BTCUSDT-1d-2023-11.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2023-11.zip,30,eae4a133704d6b3a2c2c796bffce6aff605d72cb9a0e974e0fc16adf23c150f6,true
BTCUSDT-1d-2023-12.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2023-12.zip,31,417fd4410cdeede8bb0f473bdece4c856a27c737e95ef3370c8333fbe9fa0023,true
BTCUSDT-1d-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2024-01.zip,31,26b06a00b615b9a85c6c7404971a8756c1006ef8192f8b1a02aadb9fef7e61f5,true
BTCUSDT-1d-2024-02.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2024-02.zip,29,082bc500af56b944e9f68707e7f32aef98d6793ccd542ecfc2ffbaf9dda2377a,true
BTCUSDT-1d-2024-03.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2024-03.zip,31,44dcb588ee5f82601710d37492246575585ab70d7c938b79e0d7163434d25436,true
BTCUSDT-1d-2024-04.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2024-04.zip,30,e09120d5e8c029f132670d03e173420bd599ac582c5ab38bc02136bfc7b2fabc,true
BTCUSDT-1d-2024-05.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2024-05.zip,31,03ea4f510206bdc5ff623acd6fab27ff46a464d700dcb00d637d6cb6c844ccde,true
BTCUSDT-1d-2024-06.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2024-06.zip,30,a92b43b86ff23ad4e9ea0b931c6a88ecdb4d3265052ab96e81a078344c99328c,true
BTCUSDT-1d-2024-07.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2024-07.zip,31,f3ea230291b5d2243f06fbf8b0ce213ab8aaa82ea3a94bdbb5661edda43b4cbe,true
BTCUSDT-1d-2024-08.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2024-08.zip,31,cd84abb28fffe93471c77859b9d8c57059fb88b4522545ab80c6fb3d6c834140,true
BTCUSDT-1d-2024-09.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2024-09.zip,30,2516eb3105e5a9458350a12dade88224f7a71e67d1a593fdeabb75f8bbdf3ff2,true
BTCUSDT-1d-2024-10.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2024-10.zip,31,c0d3d077c5e41ec2201e8bc8382e1ad4f7b4dfecac8f4f827a1d20ab1d87baeb,true
