date,groups,anchors
2023-08-16,extreme,2023-08-17
2023-08-17,extreme,2023-08-17
2023-08-18,extreme,2023-08-17
2023-08-26,control,2023-08-27
2023-08-27,control,2023-08-27
2023-08-28,control,2023-08-27
2023-08-30,control,2023-08-31
2023-08-31,control,2023-08-31
2023-09-01,control,2023-08-31
2023-10-22,extreme,2023-10-23
2023-10-23,extreme,2023-10-23
2023-10-24,extreme,2023-10-23
2023-10-27,control,2023-10-28
2023-10-28,control,2023-10-28
2023-10-29,control,2023-10-28
2024-03-04,extreme,2024-03-05
2024-03-05,extreme,2024-03-05
2024-03-06,extreme,2024-03-05
2024-06-20,control,2024-06-21
2024-06-21,control,2024-06-21
2024-06-22,control,2024-06-21
2024-07-14,control,2024-07-15
2024-07-15,control,2024-07-15
2024-07-16,control,2024-07-15
2024-08-04,extreme,2024-08-05
2024-08-05,extreme,2024-08-05
2024-08-06,extreme,2024-08-05
2024-12-04,extreme,2024-12-05
2024-12-05,extreme,2024-12-05
2024-12-06,extreme,2024-12-05
2025-06-30,control,2025-07-01
2025-07-01,control,2025-07-01
2025-07-02,control,2025-07-01
2025-10-09,extreme,2025-10-10
2025-10-10,extreme,2025-10-10
2025-10-11,extreme,2025-10-10
2026-02-04,extreme,2026-02-05
2026-02-05,extreme,2026-02-05|2026-02-06
2026-02-06,extreme,2026-02-05|2026-02-06
2026-02-07,extreme,2026-02-06
2026-03-24,control,2026-03-25
2026-03-25,control,2026-03-25
2026-03-26,control,2026-03-25
2026-06-10,control,2026-06-11
2026-06-11,control,2026-06-11
2026-06-12,control,2026-06-11
