group,anchor_date,anchor_range_rate,offset,date
control,2023-08-27,0.008356428508454175,-1,2023-08-26
control,2023-08-27,0.008356428508454175,0,2023-08-27
control,2023-08-27,0.008356428508454175,1,2023-08-28
control,2023-08-31,0.07931579759333539,-1,2023-08-30
control,2023-08-31,0.07931579759333539,0,2023-08-31
control,2023-08-31,0.07931579759333539,1,2023-09-01
control,2023-10-28,0.019608878562250312,-1,2023-10-27
control,2023-10-28,0.019608878562250312,0,2023-10-28
control,2023-10-28,0.019608878562250312,1,2023-10-29
control,2024-06-21,0.026422244401472193,-1,2024-06-20
control,2024-06-21,0.026422244401472193,0,2024-06-21
control,2024-06-21,0.026422244401472193,1,2024-06-22
control,2024-07-15,0.06567811677690062,-1,2024-07-14
control,2024-07-15,0.06567811677690062,0,2024-07-15
control,2024-07-15,0.06567811677690062,1,2024-07-16
control,2025-07-01,0.02193625583242367,-1,2025-06-30
control,2025-07-01,0.02193625583242367,0,2025-07-01
control,2025-07-01,0.02193625583242367,1,2025-07-02
control,2026-03-25,0.022790420421473324,-1,2026-03-24
control,2026-03-25,0.022790420421473324,0,2026-03-25
control,2026-03-25,0.022790420421473324,1,2026-03-26
control,2026-06-11,0.038235539223779466,-1,2026-06-10
control,2026-06-11,0.038235539223779466,0,2026-06-11
control,2026-06-11,0.038235539223779466,1,2026-06-12
extreme,2023-08-17,0.15764552024261835,-1,2023-08-16
extreme,2023-08-17,0.15764552024261835,0,2023-08-17
extreme,2023-08-17,0.15764552024261835,1,2023-08-18
extreme,2023-10-23,0.18481284392574227,-1,2023-10-22
extreme,2023-10-23,0.18481284392574227,0,2023-10-23
extreme,2023-10-23,0.18481284392574227,1,2023-10-24
extreme,2024-03-05,0.1606026284993584,-1,2024-03-04
extreme,2024-03-05,0.1606026284993584,0,2024-03-05
extreme,2024-03-05,0.1606026284993584,1,2024-03-06
extreme,2024-08-05,0.17404371230540472,-1,2024-08-04
extreme,2024-08-05,0.17404371230540472,0,2024-08-05
extreme,2024-08-05,0.17404371230540472,1,2024-08-06
extreme,2024-12-05,0.14876470982407483,-1,2024-12-04
extreme,2024-12-05,0.14876470982407483,0,2024-12-05
extreme,2024-12-05,0.14876470982407483,1,2024-12-06
extreme,2025-10-10,0.18613776883091765,-1,2025-10-09
extreme,2025-10-10,0.18613776883091765,0,2025-10-10
extreme,2025-10-10,0.18613776883091765,1,2025-10-11
extreme,2026-02-05,0.17628972404128646,-1,2026-02-04
extreme,2026-02-05,0.17628972404128646,0,2026-02-05
extreme,2026-02-05,0.17628972404128646,1,2026-02-06
extreme,2026-02-06,0.1688919759867884,-1,2026-02-05
extreme,2026-02-06,0.1688919759867884,0,2026-02-06
extreme,2026-02-06,0.1688919759867884,1,2026-02-07
